Symbol,Company_Name
ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited
ADBL,Agricultural Development Bank Limited
AHL,Asian Hydropower Limited
AHPC,Arun Valley Hydropower Development Co. Ltd.
AKJCL,Ankhu Khola Jalvidhyut Company Ltd
AKPL,Arun Kabeli Power Ltd.
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd
ALICL,Asian Life Insurance Co. Limited
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited
API,API Power Company Limited
AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited
BANDIPUR,Bandipur Cable Car and Tourism Limited
BARUN,Barun Hydropower Co. Ltd.
BBC,Bishal Bazar Company Limited
BEDC,Bhugol Energy Development Company Limited
BFC,Best Finance Company Ltd.
BGWT,Bhagawati Hydropower Development Company Ltd
BHCL,Bikash Hydropower Company Limited
BHDC,Bindhyabasini Hydropower Development Company Limited
BHL,Balephi Hydropower Limited
BHPL,Barahi Hydropower Public Limited
BNHC,Buddha Bhumi Nepal Hydro Power Co. Ltd.
BNL,Bottlers Nepal (Balaju) Limited
BNT,Bottlers Nepal (Terai) Limited
BPCL,Butwal Power Company Limited
BUNGAL,Bungal Hydro Limited
CBBL,Chhimek Laghubitta Bikas Bank Limited
CFCL,Central Finance Co. Ltd.
CGH,Chandragiri Hills Limited
CHCL,Chilime Hydropower Company Limited
CHDC,CEDB Holdings Limited
CHL,Chhyangdi Hydropower Ltd.
CIT,Citizen Investment Trust
CITY,City Hotel Limited
CKHL,Chirkhwa Hydropower Limited
CLI,Citizen Life Insurance Company Limited
CORBL,Corporate Development Bank Limited
CREST,Crest Micro Life Insurance Ltd.
CYCL,Cyc Nepal Laghubitta Bittiya Sanstha Limited
CZBIL,Citizen Bank International Limited
DDBL,Deprosc Laghubitta Bittiya Sanstha Limited
DHEL,Daramkhola Hydro Energy Limited
DHPL,Dibyashwori Hydropower Ltd.
DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited
DOLTI,Dolti Power Company Ltd
DORDI,Dordi Khola Jalbidhyut Company Limited
EBL,Everest Bank Limited
EDBL,Excel Development Bank Ltd.
EHPL,Eastern Hydropower Limited
ENL,Emerging Nepal Limited
FMDBL,First Micro Finance Development Bank Ltd.
FOWAD,Forward Community Microfinance Bittiya Sanstha Ltd.
GBBL,Garima Bikas Bank Limited
GBIME,Global IME Bank Limited
GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.
GCIL,Ghorahi Cement Industry Limited
GFCL,Goodwill Finance Co. Ltd.
GHL,Ghalemdi Hydro Limited
GILB,Global IME Laghubitta Bittiya Sanstha Ltd.
GLBSL,Gurans Laghubitta Bittiya Sanstha Limited
GLH,GREENLIFE HYDROPOWER LIMITED
GMFBS,Ganapati Microfinance Bittiya Sanstha Limited
GMFIL,Guheshowori Merchant Bank & Finance Co. Ltd.
GMLI,Guardian Micro Life Insurance Limited
GRDBL,Green Development Bank Ltd.
GUFL,Gurkhas Finance Ltd.
GVL,Green Ventures Limited
HATHY,Hathway Investment Nepal Limited
HBL,Himalayan Bank Limited
HDHPC,Himal Dolakha Hydropower Company Limited
HDL,Himalayan Distillery Limited
HEI,Himalayan Everest Insurance Limited
HEIP,Himalayan Everest Insurance Limited (Promoter)
HHL,Himalayan Hydropower Limited
HIDCL,Hydroelectricity Investment and Development Company Ltd
HIDCLP,Hydroelectricity Investment and Development Company Limited (Promoter)
HIMSTAR,Him Star Urja Company Limited
HLBSL,Himalayan Laghubitta Bittiya Sanstha Ltd.
HLI,Himalayan Life Insurance Limited
HPPL,Himalayan Power Partner Ltd.
HRL,Himalayan Reinsurance Limited
HURJA,Himalaya Urja Bikas Company Limited
ICFC,ICFC Finance Limited
IGI,IGI Prudential Insurance Limited
IHL,Ingwa Hydropower Limited
ILBS,Infinity Laghubitta Bittiya Sanstha Limited
ILI,IME Life Insurance Company Limited
JBBL,Jyoti Bikas Bank Limited
JBLB,Jeevan Bikas Laghubitta Bittiya Sanstha Limited
JFL,Janaki Finance Ltd.
JHAPA,Jhapa Energy limited
JOSHI,Joshi Hydropower Development Company Ltd
JSLBB,Janautthan Samudayic Laghubitta Bikas Bank Ltd.
KBL,Kumari Bank Limited
KBSH,Kutheli Bukhari Small Hydropower Limited
KDL,Kalinchowk Darshan Limited
KKHC,Khanikhola Hydropower Co. Ltd.
KMCDB,Kalika Microcredit Development Bank Ltd.
KPCL,Kalika power Company Ltd
KSBBL,Kamana Sewa Bikas Bank Limited
LBBL,Lumbini Bikas Bank Ltd.
LEC,Liberty Energy Company Limited
LICN,Life Insurance Co. Nepal
LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.
LSL,Laxmi Sunrise Bank Limited
