Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turn Over
ADBL,2012-01-01,115.0,115.0,113.0,114.0,-0.87 %,1111.0,125973.0
ADBL,2012-01-02,114.0,118.0,115.0,118.0,3.51 %,551.0,64227.0
ADBL,2012-01-03,118.0,116.0,114.0,115.0,-2.54 %,490.0,56130.0
ADBL,2012-01-04,115.0,115.0,113.0,114.0,-0.87 %,3220.0,369040.0
ADBL,2012-01-05,114.0,114.0,112.0,113.0,-0.88 %,775.0,87595.0
ADBL,2012-01-08,113.0,115.0,113.0,114.0,0.88 %,3240.0,369120.0
ADBL,2012-01-09,114.0,113.0,111.0,111.0,-2.63 %,1710.0,190718.0
ADBL,2012-01-10,111.0,114.0,112.0,112.0,0.90 %,549.0,62007.0
ADBL,2012-01-11,112.0,112.0,111.0,112.0,0.00 %,2477.0,277012.0
ADBL,2012-01-12,112.0,112.0,110.0,112.0,0.00 %,3102.0,344864.0
ADBL,2012-01-16,112.0,112.0,111.0,111.0,-0.89 %,1049.0,116985.0
ADBL,2012-01-17,111.0,114.0,110.0,113.0,1.80 %,866.0,96445.0
ADBL,2012-01-18,118.0,117.0,115.0,117.0,-0.85 %,411.0,47745.0
ADBL,2012-01-22,117.0,118.0,115.0,117.0,0.00 %,4484.0,522708.0
ADBL,2012-01-23,117.0,115.0,111.0,112.0,-4.27 %,1650.0,187270.0
ADBL,2012-01-25,112.0,114.0,111.0,114.0,1.79 %,1170.0,130710.0
ADBL,2012-01-26,114.0,114.0,110.0,112.0,-1.75 %,1060.0,118750.0
ADBL,2012-01-29,112.0,114.0,111.0,112.0,0.00 %,4200.0,473960.0
ADBL,2012-01-31,112.0,114.0,110.0,110.0,-1.79 %,2291.0,254352.0
ADBL,2012-02-01,110.0,113.0,110.0,111.0,0.91 %,1833.0,203887.0
ADBL,2012-02-02,111.0,113.0,111.0,111.0,0.00 %,3946.0,442100.0
ADBL,2012-02-05,111.0,111.0,109.0,110.0,-0.90 %,1611.0,176945.0
ADBL,2012-02-06,110.0,111.0,110.0,111.0,0.91 %,992.0,109391.0
ADBL,2012-02-07,111.0,110.0,107.0,110.0,-0.90 %,2091.0,227290.0
ADBL,2012-02-08,110.0,110.0,109.0,110.0,0.00 %,386.0,42300.0
