Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turn Over
AKPL,2017-04-16,297.0,326.0,297.0,326.0,0.00 %,9361.0,3049750.0
AKPL,2017-04-18,332.0,358.0,332.0,358.0,9.82 %,31151.0,11151200.0
AKPL,2017-04-19,358.0,393.0,365.0,393.0,9.78 %,10034.0,3925883.0
AKPL,2017-04-23,400.0,432.0,383.0,411.0,4.33 %,99212.0,41322300.0
AKPL,2017-04-24,403.0,408.0,385.0,402.0,-2.19 %,53027.0,21169200.0
AKPL,2017-04-25,394.0,418.0,393.0,408.0,1.49 %,39076.0,15661800.0
AKPL,2017-04-26,403.0,448.0,403.0,441.0,8.09 %,35032.0,14772800.0
AKPL,2017-04-27,433.0,469.0,425.0,461.0,4.54 %,45822.0,20535200.0
AKPL,2017-04-30,460.0,460.0,438.0,445.0,-3.47 %,52492.0,23543800.0
AKPL,2017-05-02,445.0,455.0,434.0,444.0,-0.22 %,30617.0,13560500.0
AKPL,2017-05-03,452.0,457.0,436.0,438.0,-1.35 %,24825.0,10963300.0
AKPL,2017-05-04,438.0,450.0,435.0,447.0,2.05 %,51497.0,22794300.0
AKPL,2017-05-07,450.0,450.0,437.0,439.0,-1.79 %,29759.0,13140300.0
AKPL,2017-05-08,432.0,448.0,432.0,444.0,1.14 %,24419.0,10783800.0
AKPL,2017-05-09,444.0,474.0,441.0,467.0,5.18 %,48134.0,22066936.0
AKPL,2017-05-11,470.0,503.0,466.0,485.0,3.85 %,53131.0,25937100.0
AKPL,2017-05-15,485.0,493.0,475.0,477.0,-1.65 %,20965.0,10072100.0
AKPL,2017-05-16,472.0,485.0,472.0,480.0,0.63 %,12819.0,6103610.0
AKPL,2017-05-17,472.0,484.0,472.0,480.0,0.21 %,14404.0,6902550.0
AKPL,2017-05-18,481.0,493.0,473.0,490.0,1.87 %,25777.0,12366722.0
AKPL,2017-05-21,481.0,485.0,465.0,484.0,-1.22 %,11480.0,5470030.0
AKPL,2017-05-22,475.0,479.0,460.0,472.0,-2.48 %,8730.0,4112960.0
