Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turn Over
BGWT,2023-10-12,361.1,397.2,361.1,397.2,0.00 %,13674.0,5423319.6
BGWT,2023-10-16,405.1,436.9,358.2,362.5,-8.74 %,69045.0,26937096.6
BGWT,2023-10-17,362.0,387.0,356.0,360.1,-0.66 %,24008.0,8718952.2
BGWT,2023-10-18,355.2,385.0,355.2,385.0,6.91 %,8654.0,3232523.0
BGWT,2023-10-19,377.3,387.0,372.7,384.5,-0.13 %,7467.0,2839725.7
BGWT,2023-10-29,376.9,376.9,358.3,367.0,-4.55 %,13335.0,4825765.1
BGWT,2023-10-30,359.7,374.0,352.8,366.0,-0.27 %,10137.0,3663015.2
BGWT,2023-10-31,360.0,369.0,360.0,369.0,0.82 %,4920.0,1780862.0
BGWT,2023-11-01,362.0,366.0,356.0,361.1,-2.14 %,4299.0,1555648.6
BGWT,2023-11-02,354.0,364.0,354.0,357.1,-1.11 %,5930.0,2125822.0
BGWT,2023-11-05,352.0,360.0,352.0,356.0,-0.31 %,3910.0,1392208.0
BGWT,2023-11-06,360.0,372.0,355.0,366.5,2.95 %,7390.0,2684543.0
BGWT,2023-11-07,360.0,384.8,360.0,370.0,0.95 %,5410.0,2026219.5
BGWT,2023-11-08,370.0,398.0,363.7,395.0,6.76 %,17150.0,6650691.5
BGWT,2023-11-09,387.1,400.0,378.0,378.4,-4.20 %,5930.0,2271360.0
BGWT,2023-11-20,378.4,390.2,377.4,389.0,2.80 %,6922.0,2665248.0
BGWT,2023-11-21,382.0,384.0,376.1,382.0,-1.80 %,10370.0,3941785.2
BGWT,2023-11-22,375.0,391.0,375.0,391.0,2.36 %,5561.0,2113798.8
BGWT,2023-11-23,383.2,403.0,379.0,398.0,1.79 %,9037.0,3581347.8
BGWT,2023-11-26,390.1,437.8,390.1,437.8,10.00 %,25091.0,10754149.0
BGWT,2023-11-27,437.0,462.0,437.0,446.5,1.99 %,40705.0,18183362.4
BGWT,2023-11-28,439.0,454.0,433.3,438.0,-1.90 %,15082.0,6673576.9
BGWT,2023-11-29,438.0,443.0,425.3,430.0,-1.83 %,6210.0,2693334.0
BGWT,2023-11-30,422.0,438.0,417.0,418.3,-2.72 %,5820.0,2470629.0
BGWT,2023-12-03,426.6,432.0,413.0,432.0,3.28 %,6337.0,2658210.1
BGWT,2023-12-04,440.0,445.0,410.0,435.0,0.69 %,15943.0,6769850.8
BGWT,2023-12-05,426.3,430.0,418.0,425.0,-2.30 %,5080.0,2150630.0
BGWT,2023-12-06,417.1,435.0,417.1,434.7,2.28 %,9610.0,4113518.6
BGWT,2023-12-07,430.0,443.3,427.1,427.1,-1.75 %,14212.0,6148936.0
BGWT,2023-12-10,435.6,450.0,435.6,441.0,3.25 %,3650.0,1614825.0
BGWT,2023-12-11,449.8,464.0,432.0,455.0,3.17 %,37059.0,16619787.8
BGWT,2023-12-12,455.0,484.9,445.9,477.0,4.84 %,13807.0,6509979.0
BGWT,2023-12-13,470.0,494.0,458.8,470.0,-1.47 %,19877.0,9428226.5
BGWT,2023-12-14,461.1,472.0,454.1,462.0,-1.70 %,17738.0,8256502.5
BGWT,2023-12-17,453.0,499.0,452.0,487.0,5.41 %,43595.0,21044348.0
BGWT,2023-12-18,495.0,504.0,475.0,494.0,1.44 %,30405.0,14830129.6
BGWT,2023-12-19,485.0,505.0,481.0,505.0,2.23 %,16673.0,8246623.7
BGWT,2023-12-20,515.0,520.0,493.0,515.0,1.98 %,31910.0,16096183.5
BGWT,2023-12-21,504.7,558.0,490.5,558.0,8.35 %,33285.0,17137113.1
BGWT,2023-12-24,550.0,574.9,525.0,526.2,-5.70 %,30713.0,17012789.0
BGWT,2023-12-27,516.0,542.9,516.0,532.0,1.10 %,21147.0,11206074.7
BGWT,2023-12-28,532.0,538.0,525.0,528.0,-0.75 %,12276.0,6515619.8
BGWT,2024-01-01,528.0,538.0,506.0,508.0,-3.79 %,11187.0,5800771.4
BGWT,2024-01-02,497.9,510.0,497.9,510.0,0.39 %,15680.0,7924481.0
BGWT,2024-01-03,502.0,561.0,502.0,561.0,10.00 %,21702.0,11664834.2
BGWT,2024-01-04,549.8,590.0,549.8,570.0,1.60 %,30252.0,17459990.8
BGWT,2024-01-07,570.0,588.9,547.6,584.0,2.46 %,29562.0,16894989.0
BGWT,2024-01-08,572.4,590.0,555.0,584.4,0.07 %,25259.0,14488672.0
BGWT,2024-01-09,585.0,593.0,565.0,574.0,-1.78 %,23928.0,13767140.5
BGWT,2024-01-10,564.0,575.0,555.1,555.1,-3.29 %,7992.0,4516071.0
BGWT,2024-01-11,555.0,570.0,552.0,563.0,1.42 %,10255.0,5770291.0
BGWT,2024-01-14,565.0,582.0,563.2,577.0,2.49 %,18537.0,10661838.1
BGWT,2024-01-16,577.7,598.0,558.0,598.0,3.64 %,36138.0,21017285.0
BGWT,2024-01-17,587.0,603.8,567.0,603.8,0.97 %,23335.0,13674432.6
BGWT,2024-01-18,591.8,597.9,570.0,597.0,-1.13 %,20337.0,11968569.5
BGWT,2024-01-21,586.0,600.0,572.0,580.0,-2.85 %,17183.0,10083827.1
BGWT,2024-01-22,568.9,586.0,562.0,578.0,-0.34 %,14318.0,8166426.5
BGWT,2024-01-23,566.5,578.0,560.2,567.2,-1.87 %,5524.0,3135411.8
BGWT,2024-01-24,578.5,580.0,550.1,563.0,-0.74 %,8008.0,4488084.0
BGWT,2024-01-25,553.0,575.0,552.0,570.0,1.24 %,13339.0,7538152.0
