Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turn Over
BPCL,2012-01-01,504.0,494.0,494.0,494.0,-1.98 %,23.0,11362.0
BPCL,2012-01-02,494.0,485.0,485.0,485.0,-1.82 %,200.0,97000.0
BPCL,2012-01-03,485.0,476.0,476.0,476.0,-1.86 %,40.0,19040.0
BPCL,2012-01-04,476.0,479.0,470.0,479.0,0.63 %,620.0,294280.0
BPCL,2012-01-09,479.0,497.0,488.0,497.0,3.76 %,34.0,16682.0
BPCL,2012-01-10,497.0,516.0,506.0,516.0,3.82 %,56.0,28436.0
BPCL,2012-01-11,516.0,506.0,506.0,506.0,-1.94 %,30.0,15180.0
BPCL,2012-01-12,506.0,536.0,516.0,536.0,5.93 %,75.0,39480.0
BPCL,2012-02-07,536.0,526.0,520.0,520.0,-2.99 %,80.0,41840.0
BPCL,2012-02-27,520.0,510.0,468.0,468.0,-10.00 %,846.0,402178.0
BPCL,2012-02-28,468.0,459.0,450.0,450.0,-3.85 %,509.0,229500.0
BPCL,2012-03-04,450.0,455.0,450.0,455.0,1.11 %,1045.0,470775.0
BPCL,2012-03-06,455.0,455.0,455.0,455.0,0.00 %,100.0,45500.0
BPCL,2012-03-11,455.0,455.0,455.0,455.0,0.00 %,352.0,160160.0
BPCL,2012-03-18,455.0,460.0,460.0,460.0,1.10 %,10.0,4600.0
BPCL,2012-03-19,460.0,460.0,460.0,460.0,0.00 %,30.0,13800.0
BPCL,2012-03-20,460.0,456.0,439.0,439.0,-4.57 %,421.0,188219.0
BPCL,2012-03-21,439.0,435.0,431.0,431.0,-1.82 %,300.0,129800.0
BPCL,2012-03-26,431.0,423.0,415.0,415.0,-3.71 %,200.0,83800.0
BPCL,2012-03-28,415.0,410.0,390.0,392.0,-5.54 %,1800.0,713200.0
BPCL,2012-03-29,392.0,386.0,383.0,383.0,-2.30 %,750.0,288250.0
BPCL,2012-04-01,383.0,414.0,364.0,414.0,8.09 %,1860.0,687120.0
BPCL,2012-04-02,414.0,430.0,422.0,430.0,3.86 %,40.0,17040.0
BPCL,2012-04-03,430.0,425.0,417.0,425.0,-1.16 %,520.0,219400.0
BPCL,2012-04-05,425.0,417.0,417.0,417.0,-1.88 %,150.0,62550.0
BPCL,2012-04-08,417.0,420.0,420.0,420.0,0.72 %,500.0,210000.0
BPCL,2012-04-09,420.0,412.0,396.0,396.0,-5.71 %,300.0,121200.0
BPCL,2012-04-10,396.0,390.0,376.0,385.0,-2.78 %,842.0,322430.0
BPCL,2012-04-11,385.0,408.0,386.0,395.0,2.60 %,730.0,290310.0
BPCL,2012-04-12,395.0,434.0,392.0,434.0,9.87 %,680.0,274710.0
BPCL,2012-04-15,434.0,459.0,405.0,405.0,-6.68 %,28100.0,11408600.0
BPCL,2012-04-17,405.0,477.0,450.0,450.0,0.00 %,1799.0,831619.0
BPCL,2012-04-18,450.0,473.0,414.0,414.0,-8.00 %,2185.0,985462.0
BPCL,2012-04-29,414.0,454.0,422.0,454.0,9.66 %,50.0,21900.0
BPCL,2012-04-30,454.0,496.0,463.0,496.0,9.25 %,502.0,247972.0
BPCL,2012-05-02,496.0,525.0,505.0,515.0,3.83 %,1628.0,844745.0
BPCL,2012-05-03,515.0,532.0,525.0,532.0,3.30 %,1036.0,547952.0
BPCL,2012-05-08,532.0,563.0,541.0,541.0,1.69 %,3570.0,1939515.0
BPCL,2012-05-09,541.0,565.0,551.0,560.0,3.51 %,1188.0,661770.0
BPCL,2012-05-10,560.0,570.0,548.0,549.0,-1.96 %,2208.0,1247488.0
BPCL,2012-05-13,549.0,540.0,540.0,540.0,-1.64 %,160.0,86400.0
BPCL,2012-05-15,540.0,561.0,550.0,561.0,3.89 %,455.0,254155.0
BPCL,2012-05-16,561.0,583.0,572.0,583.0,3.92 %,20.0,11550.0
BPCL,2012-05-17,583.0,617.0,594.0,605.0,3.77 %,512.0,310850.0
BPCL,2012-05-20,605.0,593.0,545.0,561.0,-7.27 %,1294.0,728716.0
BPCL,2012-05-21,561.0,566.0,550.0,555.0,-1.07 %,340.0,188640.0
BPCL,2012-05-22,555.0,553.0,534.0,553.0,-0.36 %,260.0,140890.0
BPCL,2012-05-23,553.0,542.0,542.0,542.0,-1.99 %,42.0,22764.0
BPCL,2012-05-24,542.0,532.0,520.0,520.0,-4.06 %,816.0,428432.0
BPCL,2012-05-27,520.0,540.0,500.0,540.0,3.85 %,370.0,189200.0
BPCL,2012-05-31,540.0,530.0,486.0,504.0,-6.67 %,2281.0,1133944.0
BPCL,2012-06-03,504.0,524.0,514.0,524.0,3.97 %,1120.0,586780.0
BPCL,2012-06-04,524.0,514.0,485.0,493.0,-5.92 %,530.0,265250.0
BPCL,2012-06-05,493.0,493.0,475.0,475.0,-3.65 %,110.0,52790.0
BPCL,2012-06-06,475.0,475.0,461.0,461.0,-2.95 %,460.0,216560.0
BPCL,2012-06-07,461.0,480.0,453.0,475.0,3.04 %,1540.0,726260.0
BPCL,2012-06-10,475.0,466.0,460.0,460.0,-3.16 %,40.0,18520.0
BPCL,2012-06-11,460.0,469.0,451.0,462.0,0.43 %,170.0,77490.0
BPCL,2012-06-14,462.0,473.0,455.0,473.0,2.38 %,3400.0,1550400.0
BPCL,2012-06-20,473.0,491.0,482.0,490.0,3.59 %,210.0,102920.0
BPCL,2012-06-21,490.0,481.0,472.0,472.0,-3.67 %,10280.0,4898060.0
BPCL,2012-06-25,472.0,481.0,475.0,481.0,1.91 %,275.0,131225.0
BPCL,2012-06-26,481.0,489.0,480.0,480.0,-0.21 %,1929.0,928781.0
BPCL,2012-06-27,480.0,488.0,488.0,488.0,1.67 %,100.0,48800.0
BPCL,2012-06-28,488.0,506.0,496.0,496.0,1.64 %,531.0,266475.0
BPCL,2012-07-02,496.0,487.0,471.0,471.0,-5.04 %,2140.0,1024880.0
BPCL,2012-07-03,471.0,480.0,470.0,479.0,1.70 %,1100.0,520900.0
BPCL,2012-07-04,479.0,497.0,488.0,497.0,3.76 %,99.0,48753.0
BPCL,2012-07-05,497.0,519.0,490.0,517.0,4.02 %,1357.0,678369.0
BPCL,2012-07-08,517.0,537.0,527.0,537.0,3.87 %,524.0,277968.0
BPCL,2012-07-09,537.0,547.0,527.0,547.0,1.86 %,321.0,171467.0
BPCL,2012-07-10,547.0,568.0,536.0,556.0,1.65 %,806.0,440476.0
BPCL,2012-07-11,556.0,555.0,535.0,555.0,-0.18 %,220.0,119400.0
BPCL,2012-07-12,555.0,577.0,566.0,577.0,3.96 %,160.0,91260.0
BPCL,2012-07-23,577.0,566.0,540.0,541.0,-6.24 %,1702.0,931414.0
BPCL,2012-07-24,541.0,540.0,531.0,540.0,-0.18 %,1400.0,747900.0
BPCL,2012-07-25,540.0,535.0,528.0,528.0,-2.22 %,1049.0,555942.0
BPCL,2012-07-26,528.0,518.0,518.0,518.0,-1.89 %,500.0,259000.0
BPCL,2012-07-30,518.0,518.0,508.0,515.0,-0.58 %,1724.0,883460.0
BPCL,2012-07-31,515.0,513.0,512.0,512.0,-0.58 %,600.0,307500.0
BPCL,2012-08-01,512.0,542.0,522.0,542.0,5.86 %,42.0,22424.0
BPCL,2012-08-05,542.0,532.0,522.0,531.0,-2.03 %,1986.0,1051280.0
BPCL,2012-08-06,531.0,522.0,515.0,515.0,-3.01 %,650.0,336150.0
BPCL,2012-08-07,515.0,527.0,515.0,527.0,2.33 %,1336.0,698864.0
BPCL,2012-08-08,527.0,571.0,537.0,571.0,8.35 %,5352.0,2958528.0
BPCL,2012-08-12,571.0,616.0,569.0,578.0,1.23 %,6235.0,3626560.0
BPCL,2012-08-13,578.0,581.0,565.0,570.0,-1.38 %,2310.0,1316410.0
BPCL,2012-08-14,570.0,615.0,581.0,604.0,5.96 %,6499.0,3907086.0
BPCL,2012-08-15,604.0,599.0,585.0,589.0,-2.48 %,3916.0,2315314.0
BPCL,2012-08-16,589.0,597.0,580.0,589.0,0.00 %,5166.0,3022262.0
BPCL,2012-08-19,589.0,602.0,580.0,599.0,1.70 %,9742.0,5688533.0
BPCL,2012-08-21,599.0,620.0,600.0,616.0,2.84 %,3167.0,1936985.0
BPCL,2012-08-22,616.0,640.0,621.0,640.0,3.90 %,1007.0,635264.0
