Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turn Over
CBBL,2012-01-05,346.0,340.0,340.0,340.0,-1.73 %,20.0,6800.0
CBBL,2012-01-11,340.0,334.0,328.0,328.0,-3.53 %,30.0,9900.0
CBBL,2012-01-18,328.0,322.0,322.0,322.0,-1.83 %,21.0,6762.0
CBBL,2012-01-25,322.0,323.0,323.0,323.0,0.31 %,977.0,315571.0
CBBL,2012-02-06,323.0,320.0,320.0,320.0,-0.93 %,20.0,6400.0
CBBL,2012-02-08,320.0,326.0,326.0,326.0,1.88 %,158.0,51508.0
CBBL,2012-02-16,326.0,320.0,314.0,314.0,-3.68 %,138.0,43932.0
CBBL,2012-02-23,314.0,309.0,297.0,297.0,-5.41 %,50.0,15210.0
CBBL,2012-02-28,297.0,292.0,277.0,277.0,-6.73 %,178.0,51106.0
CBBL,2012-02-29,277.0,282.0,282.0,282.0,1.81 %,82.0,23124.0
CBBL,2012-03-01,282.0,277.0,254.0,254.0,-9.93 %,1795.0,464919.0
CBBL,2012-03-04,254.0,249.0,249.0,249.0,-1.97 %,126.0,31374.0
CBBL,2012-03-05,249.0,246.0,242.0,242.0,-2.81 %,31.0,7586.0
CBBL,2012-03-20,242.0,246.0,246.0,246.0,1.65 %,158.0,38868.0
CBBL,2012-03-25,246.0,250.0,250.0,250.0,1.63 %,157.0,39250.0
CBBL,2012-03-28,250.0,251.0,251.0,251.0,0.40 %,84.0,21084.0
CBBL,2012-04-08,251.0,256.0,256.0,256.0,1.99 %,110.0,28160.0
CBBL,2012-04-12,256.0,253.0,253.0,253.0,-1.17 %,476.0,120428.0
CBBL,2012-04-26,253.0,258.0,258.0,258.0,1.98 %,2175.0,561150.0
CBBL,2012-05-14,258.0,273.0,263.0,273.0,5.81 %,1927.0,516776.0
CBBL,2012-05-17,273.0,293.0,278.0,293.0,7.33 %,288.0,82849.0
CBBL,2012-05-24,293.0,288.0,288.0,288.0,-1.71 %,319.0,91872.0
CBBL,2012-06-07,288.0,293.0,293.0,293.0,1.74 %,472.0,138296.0
CBBL,2012-06-12,293.0,288.0,283.0,283.0,-3.41 %,658.0,188714.0
CBBL,2012-06-17,283.0,288.0,288.0,288.0,1.77 %,420.0,120960.0
CBBL,2012-07-01,288.0,286.0,286.0,286.0,-0.69 %,157.0,44902.0
CBBL,2012-07-11,286.0,314.0,291.0,314.0,9.79 %,1141.0,348574.0
CBBL,2012-07-17,314.0,345.0,320.0,345.0,9.87 %,160.0,54500.0
CBBL,2012-07-18,345.0,379.0,351.0,379.0,9.86 %,443.0,163515.0
CBBL,2012-07-19,379.0,400.0,379.0,379.0,0.00 %,906.0,349567.0
CBBL,2012-07-23,379.0,375.0,374.0,374.0,-1.32 %,58.0,21734.0
CBBL,2012-07-24,374.0,395.0,381.0,395.0,5.61 %,644.0,249172.0
CBBL,2012-07-26,395.0,388.0,388.0,388.0,-1.77 %,16.0,6208.0
CBBL,2012-07-31,388.0,388.0,381.0,388.0,0.00 %,1437.0,551859.0
CBBL,2012-08-01,388.0,402.0,395.0,396.0,2.06 %,64.0,25394.0
CBBL,2012-08-06,396.0,389.0,389.0,389.0,-1.77 %,100.0,38900.0
CBBL,2012-08-13,389.0,390.0,390.0,390.0,0.26 %,525.0,204750.0
CBBL,2012-08-16,390.0,396.0,385.0,385.0,-1.28 %,210.0,81758.0
CBBL,2012-08-19,385.0,378.0,371.0,371.0,-3.64 %,380.0,142450.0
CBBL,2012-08-28,371.0,364.0,364.0,364.0,-1.89 %,10.0,3640.0
CBBL,2012-08-29,364.0,373.0,340.0,373.0,2.47 %,435.0,150770.0
CBBL,2012-08-30,373.0,376.0,369.0,375.0,0.54 %,1755.0,654645.0
CBBL,2012-09-02,375.0,382.0,382.0,382.0,1.87 %,21.0,8022.0
CBBL,2012-09-03,382.0,376.0,376.0,376.0,-1.57 %,796.0,299296.0
CBBL,2012-09-04,376.0,384.0,377.0,377.0,0.27 %,344.0,131500.0
CBBL,2012-09-05,377.0,384.0,384.0,384.0,1.86 %,42.0,16128.0
CBBL,2012-09-06,384.0,384.0,377.0,377.0,-1.82 %,880.0,331830.0
CBBL,2012-09-09,377.0,375.0,375.0,375.0,-0.53 %,420.0,157500.0
CBBL,2012-09-10,375.0,373.0,368.0,373.0,-0.53 %,2000.0,741000.0
CBBL,2012-09-11,373.0,372.0,372.0,372.0,-0.27 %,1000.0,372000.0
CBBL,2012-09-12,372.0,380.0,374.0,380.0,2.15 %,230.0,87220.0
CBBL,2012-09-16,380.0,418.0,380.0,418.0,10.00 %,2184.0,857209.0
CBBL,2012-09-17,418.0,450.0,426.0,440.0,5.26 %,891.0,390147.0
CBBL,2012-09-18,440.0,433.0,415.0,422.0,-4.09 %,1457.0,612409.0
CBBL,2012-09-19,422.0,430.0,422.0,422.0,0.00 %,50.0,21180.0
CBBL,2012-09-20,422.0,430.0,422.0,424.0,0.47 %,563.0,238744.0
CBBL,2012-09-23,424.0,416.0,416.0,416.0,-1.89 %,261.0,108576.0
CBBL,2012-09-24,416.0,408.0,402.0,402.0,-3.37 %,618.0,251886.0
CBBL,2012-09-25,402.0,405.0,405.0,405.0,0.75 %,50.0,20250.0
CBBL,2012-09-26,405.0,413.0,412.0,413.0,1.98 %,370.0,152710.0
CBBL,2012-09-27,413.0,416.0,411.0,416.0,0.73 %,107.0,44262.0
CBBL,2012-09-30,416.0,420.0,420.0,420.0,0.96 %,100.0,42000.0
CBBL,2012-10-03,420.0,428.0,428.0,428.0,1.90 %,26.0,11128.0
CBBL,2012-10-08,428.0,425.0,417.0,417.0,-2.57 %,377.0,159330.0
CBBL,2012-10-09,417.0,425.0,425.0,425.0,1.92 %,21.0,8925.0
CBBL,2012-10-10,425.0,441.0,432.0,441.0,3.76 %,304.0,131708.0
CBBL,2012-10-30,441.0,474.0,449.0,474.0,7.48 %,69.0,31923.0
CBBL,2012-11-01,474.0,471.0,452.0,452.0,-4.64 %,1494.0,696238.0
CBBL,2012-11-04,452.0,456.0,451.0,456.0,0.88 %,1002.0,455320.0
CBBL,2012-11-05,456.0,465.0,460.0,460.0,0.88 %,730.0,336073.0
CBBL,2012-11-06,460.0,487.0,469.0,478.0,3.91 %,288.0,137925.0
CBBL,2012-11-07,478.0,472.0,471.0,472.0,-1.26 %,155.0,73110.0
CBBL,2012-11-08,472.0,479.0,470.0,475.0,0.64 %,1779.0,842129.0
CBBL,2012-11-11,475.0,474.0,470.0,474.0,-0.21 %,494.0,233356.0
CBBL,2012-11-12,474.0,475.0,470.0,470.0,-0.84 %,184.0,86980.0
CBBL,2012-11-20,470.0,478.0,475.0,476.0,1.28 %,780.0,371114.0
CBBL,2012-11-21,476.0,485.0,484.0,485.0,1.89 %,140.0,67800.0
CBBL,2012-11-22,485.0,499.0,476.0,497.0,2.47 %,1027.0,505881.0
CBBL,2012-11-25,497.0,493.0,493.0,493.0,-0.80 %,20.0,9860.0
CBBL,2012-12-11,493.0,391.0,391.0,391.0,-20.69 %,100.0,39100.0
CBBL,2012-12-13,391.0,405.0,398.0,405.0,3.58 %,100.0,40150.0
CBBL,2012-12-16,405.0,421.0,405.0,421.0,3.95 %,255.0,103755.0
CBBL,2012-12-17,421.0,421.0,421.0,421.0,0.00 %,106.0,44626.0
CBBL,2012-12-20,421.0,437.0,429.0,437.0,3.80 %,40.0,17320.0
CBBL,2012-12-24,437.0,430.0,430.0,430.0,-1.60 %,48.0,20640.0
CBBL,2013-01-13,430.0,443.0,425.0,425.0,-1.16 %,4934.0,2146370.0
CBBL,2013-01-17,425.0,417.0,401.0,401.0,-5.65 %,30.0,12270.0
CBBL,2013-01-21,401.0,400.0,393.0,400.0,-0.25 %,77.0,30611.0
CBBL,2013-01-22,400.0,400.0,400.0,400.0,0.00 %,10.0,4000.0
CBBL,2013-01-23,400.0,407.0,407.0,407.0,1.75 %,12.0,4884.0
CBBL,2013-01-24,407.0,400.0,393.0,393.0,-3.44 %,760.0,303930.0
CBBL,2013-01-27,393.0,391.0,383.0,383.0,-2.54 %,112.0,43652.0
CBBL,2013-01-28,383.0,396.0,389.0,390.0,1.83 %,158.0,61776.0
CBBL,2013-01-30,390.0,383.0,376.0,383.0,-1.79 %,41.0,15633.0
CBBL,2013-01-31,383.0,380.0,375.0,375.0,-2.09 %,133.0,50295.0
CBBL,2013-02-03,375.0,387.0,380.0,387.0,3.20 %,531.0,202760.0
CBBL,2013-02-05,387.0,388.0,381.0,388.0,0.26 %,265.0,102400.0
CBBL,2013-02-07,388.0,390.0,390.0,390.0,0.52 %,150.0,58500.0
CBBL,2013-02-13,390.0,397.0,396.0,397.0,1.79 %,136.0,53898.0
CBBL,2013-02-14,397.0,400.0,395.0,400.0,0.76 %,84.0,33390.0
CBBL,2013-02-17,400.0,408.0,408.0,408.0,2.00 %,52.0,21216.0
CBBL,2013-02-21,408.0,423.0,407.0,407.0,-0.25 %,94.0,39266.0
CBBL,2013-02-24,407.0,399.0,390.0,390.0,-4.18 %,41.0,16100.0
CBBL,2013-02-25,390.0,383.0,380.0,380.0,-2.56 %,110.0,41830.0
CBBL,2013-02-26,380.0,387.0,387.0,387.0,1.84 %,273.0,105651.0
CBBL,2013-02-27,387.0,394.0,394.0,394.0,1.81 %,42.0,16548.0
CBBL,2013-03-05,394.0,390.0,390.0,390.0,-1.02 %,95.0,37050.0
CBBL,2013-03-07,390.0,400.0,393.0,400.0,2.56 %,186.0,73874.0
CBBL,2013-03-11,400.0,400.0,400.0,400.0,0.00 %,392.0,156800.0
CBBL,2013-03-13,400.0,392.0,392.0,392.0,-2.00 %,10.0,3920.0
CBBL,2013-03-18,392.0,399.0,399.0,399.0,1.79 %,94.0,37506.0
CBBL,2013-03-19,399.0,392.0,378.0,378.0,-5.26 %,30.0,11550.0
CBBL,2013-03-20,378.0,371.0,371.0,371.0,-1.85 %,10.0,3710.0
CBBL,2013-03-21,371.0,365.0,365.0,365.0,-1.62 %,10.0,3650.0
CBBL,2013-03-24,365.0,358.0,358.0,358.0,-1.92 %,10.0,3580.0
CBBL,2013-03-27,358.0,367.0,345.0,367.0,2.51 %,4799.0,1691182.0
CBBL,2013-03-31,367.0,360.0,360.0,360.0,-1.91 %,1850.0,666000.0
CBBL,2013-04-01,360.0,353.0,353.0,353.0,-1.94 %,2504.0,883912.0
CBBL,2013-04-02,353.0,346.0,345.0,345.0,-2.27 %,3301.0,1141516.0
CBBL,2013-04-03,345.0,351.0,351.0,351.0,1.74 %,2029.0,712179.0
CBBL,2013-04-04,351.0,358.0,358.0,358.0,1.99 %,2000.0,716000.0
CBBL,2013-04-07,358.0,360.0,360.0,360.0,0.56 %,2000.0,720000.0
CBBL,2013-04-08,360.0,375.0,355.0,375.0,4.17 %,2168.0,784931.0
CBBL,2013-04-09,375.0,382.0,382.0,382.0,1.87 %,2000.0,764000.0
CBBL,2013-04-11,382.0,387.0,380.0,387.0,1.31 %,1615.0,616458.0
CBBL,2013-04-15,387.0,401.0,380.0,401.0,3.62 %,614.0,239316.0
CBBL,2013-04-16,401.0,393.0,386.0,386.0,-3.74 %,20.0,7790.0
CBBL,2013-04-18,386.0,380.0,380.0,380.0,-1.55 %,119.0,45220.0
CBBL,2013-04-21,380.0,387.0,387.0,387.0,1.84 %,94.0,36378.0
CBBL,2013-04-22,387.0,400.0,394.0,400.0,3.36 %,195.0,77430.0
CBBL,2013-04-23,400.0,408.0,395.0,395.0,-1.25 %,514.0,206398.0
CBBL,2013-04-25,395.0,402.0,401.0,402.0,1.77 %,3099.0,1245402.0
CBBL,2013-04-28,402.0,402.0,398.0,402.0,0.00 %,4008.0,1603330.0
CBBL,2013-04-29,402.0,403.0,395.0,400.0,-0.50 %,5803.0,2295367.0
CBBL,2013-04-30,400.0,401.0,400.0,400.0,0.00 %,1004.0,402061.0
CBBL,2013-05-06,400.0,407.0,407.0,407.0,1.75 %,200.0,81400.0
CBBL,2013-05-07,407.0,431.0,415.0,431.0,5.90 %,1210.0,513264.0
CBBL,2013-05-08,431.0,428.0,426.0,426.0,-1.16 %,200.0,85400.0
CBBL,2013-05-09,426.0,432.0,424.0,432.0,1.41 %,160.0,68000.0
CBBL,2013-05-12,432.0,424.0,420.0,420.0,-2.78 %,147.0,62036.0
CBBL,2013-05-13,420.0,412.0,412.0,412.0,-1.90 %,556.0,229072.0
CBBL,2013-05-19,412.0,420.0,420.0,420.0,1.94 %,200.0,84000.0
CBBL,2013-05-20,420.0,428.0,428.0,428.0,1.90 %,10.0,4280.0
CBBL,2013-05-21,428.0,428.0,428.0,428.0,0.00 %,158.0,67624.0
CBBL,2013-05-22,428.0,433.0,433.0,433.0,1.17 %,20.0,8660.0
