Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turn Over
CITY,2023-06-11,111.1,122.2,111.1,122.2,0.00 %,376.0,44410.1
CITY,2023-06-12,120.8,134.4,120.8,134.4,9.98 %,279.0,35902.7
CITY,2023-06-13,135.7,147.8,135.7,147.8,9.97 %,201.0,28811.2
CITY,2023-06-14,147.8,162.5,147.8,162.5,9.95 %,167.0,26066.5
CITY,2023-06-15,165.7,178.7,165.7,178.7,9.97 %,122.0,21388.8
CITY,2023-06-18,182.2,196.5,182.2,196.5,9.96 %,240.0,46418.8
CITY,2023-06-19,193.3,216.1,193.3,216.1,9.97 %,370.0,79108.8
CITY,2023-06-20,220.4,237.7,220.4,237.7,10.00 %,379.0,89407.7
CITY,2023-06-21,242.4,261.4,242.4,261.4,9.97 %,411.0,106550.3
CITY,2023-06-22,265.0,287.5,265.0,287.5,9.98 %,650.0,185994.8
CITY,2023-06-25,293.2,316.2,293.2,316.2,9.98 %,1379.0,435131.0
CITY,2023-06-26,315.0,347.8,315.0,347.8,9.99 %,1571.0,545021.4
CITY,2023-06-27,350.8,382.5,350.8,382.5,9.98 %,1170.0,446232.5
CITY,2023-06-28,390.1,420.7,390.1,420.7,9.99 %,2020.0,848981.2
CITY,2023-07-02,429.0,462.7,429.0,462.7,9.98 %,3300.0,1523889.1
CITY,2023-07-03,471.0,508.9,471.0,508.9,9.98 %,6980.0,3549917.9
CITY,2023-07-04,519.0,559.7,519.0,559.7,9.98 %,7617.0,4261095.3
CITY,2023-07-05,570.8,615.6,570.8,615.6,9.99 %,9080.0,5585798.8
CITY,2023-07-06,627.9,677.1,591.0,677.1,9.99 %,231095.0,147361945.7
CITY,2023-07-09,690.6,744.0,650.0,741.5,9.51 %,62258.0,44747371.8
CITY,2023-07-10,726.7,740.0,695.0,695.1,-6.26 %,126319.0,90162762.1
CITY,2023-07-11,685.0,715.0,671.0,686.0,-1.31 %,58697.0,40357844.0
CITY,2023-07-12,675.0,692.0,673.0,690.0,0.58 %,33430.0,22821111.8
CITY,2023-07-13,680.0,725.0,680.0,696.1,0.88 %,48946.0,34570510.4
CITY,2023-07-16,695.0,710.0,680.0,680.1,-2.30 %,35142.0,24243439.8
CITY,2023-07-17,680.0,701.7,675.2,694.0,2.04 %,27694.0,19195434.2
CITY,2023-07-18,695.0,704.0,682.1,684.0,-1.44 %,35422.0,24542790.5
CITY,2023-07-19,678.0,691.0,678.0,681.0,-0.44 %,24277.0,16631191.0
CITY,2023-07-20,680.0,689.0,670.0,673.0,-1.17 %,35863.0,24279836.5
CITY,2023-07-23,662.0,711.1,662.0,703.0,4.46 %,43400.0,30162346.8
CITY,2023-07-24,703.0,718.0,690.0,690.0,-1.85 %,43206.0,30426333.2
CITY,2023-07-25,690.0,754.0,690.0,743.4,7.74 %,89503.0,64925330.5
CITY,2023-07-26,740.0,782.5,730.0,758.0,1.96 %,60581.0,46383052.7
CITY,2023-07-27,758.0,759.0,725.0,727.0,-4.09 %,52373.0,38868664.3
CITY,2023-07-30,715.1,734.0,715.1,722.0,-0.69 %,34251.0,24764748.3
CITY,2023-07-31,718.0,744.0,716.3,720.0,-0.28 %,44320.0,32293229.4
CITY,2023-08-01,730.0,731.0,696.1,702.0,-2.50 %,29963.0,21303917.9
CITY,2023-08-02,716.0,744.9,694.0,715.0,1.85 %,20705.0,14700730.0
CITY,2023-08-03,729.0,743.8,705.0,706.1,-1.24 %,23273.0,16659218.3
CITY,2023-08-06,700.0,703.0,685.0,690.0,-2.28 %,30666.0,21256566.8
CITY,2023-08-07,682.0,707.0,680.0,685.0,-0.72 %,11376.0,7868917.5
CITY,2023-08-08,678.0,696.0,678.0,678.0,-1.02 %,17741.0,12149941.3
CITY,2023-08-09,678.0,690.0,671.0,690.0,1.77 %,13669.0,9286428.2
CITY,2023-08-10,680.0,729.5,680.0,706.5,2.39 %,45639.0,32532987.8
CITY,2023-08-13,701.1,730.0,701.1,720.0,1.91 %,39511.0,28442911.8
CITY,2023-08-14,711.0,730.0,709.0,712.0,-1.11 %,24937.0,17906321.9
CITY,2023-08-15,697.8,705.0,686.0,693.1,-2.65 %,41263.0,28626139.8
CITY,2023-08-16,685.0,693.0,680.0,690.0,-0.45 %,17406.0,11915598.1
CITY,2023-08-17,680.0,713.8,680.0,712.7,3.29 %,23199.0,16263750.3
CITY,2023-08-20,701.0,710.0,688.3,688.3,-3.42 %,12734.0,8890027.7
CITY,2023-08-21,680.4,698.5,680.4,685.0,-0.48 %,8873.0,6073287.4
CITY,2023-08-22,685.0,693.0,680.9,693.0,1.17 %,9222.0,6318278.1
CITY,2023-08-23,685.0,704.0,685.0,699.5,0.94 %,22771.0,15846533.4
CITY,2023-08-24,698.0,700.0,677.0,678.0,-3.07 %,15454.0,10612979.2
CITY,2023-08-27,670.0,675.0,665.0,670.0,-1.18 %,11972.0,8020670.0
CITY,2023-08-28,661.2,703.8,657.3,700.0,4.48 %,23937.0,16027554.2
CITY,2023-08-29,686.0,695.0,667.0,688.0,-1.71 %,17851.0,12099324.9
CITY,2023-08-30,675.0,756.0,670.1,756.0,9.88 %,26306.0,18241041.8
CITY,2023-09-03,740.9,740.9,680.4,680.4,-10.00 %,54143.0,37402780.2
CITY,2023-09-04,666.8,690.0,666.8,679.0,-0.21 %,14863.0,10021158.8
CITY,2023-09-05,678.0,678.0,661.0,669.0,-1.47 %,14198.0,9456406.7
CITY,2023-09-07,660.1,670.0,655.0,655.1,-2.08 %,8107.0,5347816.9
CITY,2023-09-10,665.0,694.0,658.1,661.0,0.90 %,7449.0,4993268.4
CITY,2023-09-11,655.0,677.0,655.0,676.0,2.27 %,10033.0,6722258.7
CITY,2023-09-12,670.1,675.0,655.0,659.0,-2.51 %,9137.0,6058767.0
CITY,2023-09-13,670.0,683.4,657.1,675.0,2.43 %,8740.0,5860060.0
CITY,2023-09-17,662.0,670.0,648.0,652.9,-3.27 %,13600.0,8925464.0
CITY,2023-09-18,647.0,663.0,646.0,655.0,0.32 %,2878.0,1886212.6
CITY,2023-09-19,660.0,668.0,645.0,655.9,0.14 %,9890.0,6441635.6
CITY,2023-09-21,669.0,677.0,656.3,667.0,1.69 %,21181.0,14166165.0
CITY,2023-09-24,659.0,674.0,652.0,660.0,-1.05 %,8748.0,5793341.0
CITY,2023-09-25,647.1,665.0,647.1,650.1,-1.50 %,9905.0,6483734.0
CITY,2023-09-26,656.0,661.9,650.1,652.0,0.29 %,13716.0,8998818.9
CITY,2023-09-27,650.0,659.0,637.0,645.0,-1.07 %,26699.0,17197488.1
CITY,2023-10-01,633.1,648.0,620.0,629.8,-2.36 %,12258.0,7686389.0
CITY,2023-10-02,639.9,639.9,612.1,628.0,-0.29 %,12344.0,7708203.6
CITY,2023-10-03,638.0,638.0,615.0,619.0,-1.43 %,6450.0,3990890.1
CITY,2023-10-04,616.0,630.9,611.2,623.0,0.65 %,4100.0,2557536.1
CITY,2023-10-05,613.1,621.0,613.1,620.0,-0.48 %,3443.0,2127483.0
CITY,2023-10-08,615.0,615.0,606.0,607.9,-1.95 %,5824.0,3544530.0
CITY,2023-10-09,600.0,612.0,600.0,608.0,0.02 %,4821.0,2908169.1
CITY,2023-10-10,595.9,608.0,582.1,585.0,-3.78 %,4175.0,2467873.0
CITY,2023-10-11,584.0,643.5,583.0,643.5,10.00 %,6976.0,4160143.4
CITY,2023-10-12,630.7,630.7,579.2,585.0,-9.09 %,25946.0,15252438.0
CITY,2023-10-16,575.3,579.0,563.8,563.8,-3.62 %,4761.0,2703098.5
CITY,2023-10-17,553.2,574.3,540.4,549.0,-2.63 %,11098.0,6163769.1
CITY,2023-10-18,559.9,576.3,540.2,550.0,0.18 %,10625.0,5906934.6
CITY,2023-10-19,539.1,560.0,539.1,554.0,0.73 %,8174.0,4493729.5
CITY,2023-10-29,543.0,549.0,519.3,529.8,-4.37 %,16955.0,8998940.2
CITY,2023-10-30,519.3,529.0,509.0,527.0,-0.53 %,1964.0,1019828.0
CITY,2023-10-31,516.6,531.0,510.0,531.0,0.76 %,4394.0,2257370.0
CITY,2023-11-01,520.4,552.2,511.0,514.6,-3.09 %,4755.0,2498369.8
CITY,2023-11-02,507.1,528.3,507.1,527.5,2.51 %,8116.0,4180831.3
CITY,2023-11-05,518.0,530.4,508.0,529.9,0.45 %,7688.0,3995744.0
CITY,2023-11-06,530.0,560.0,521.3,559.9,5.66 %,18615.0,10184128.1
CITY,2023-11-07,550.0,580.0,550.0,570.9,1.96 %,12422.0,7018547.1
CITY,2023-11-08,559.5,575.0,537.5,569.0,-0.33 %,8084.0,4542023.5
CITY,2023-11-09,558.0,571.9,542.2,542.2,-4.71 %,17032.0,9370750.0
CITY,2023-11-20,542.2,550.0,525.0,529.9,-2.27 %,9553.0,5102669.5
CITY,2023-11-21,529.0,550.8,509.0,509.0,-3.94 %,7002.0,3692549.0
CITY,2023-11-22,509.0,532.8,503.7,532.0,4.52 %,3610.0,1891131.0
CITY,2023-11-23,522.0,542.0,515.0,536.0,0.75 %,5328.0,2839622.0
CITY,2023-11-26,536.0,564.0,529.0,547.0,2.05 %,18146.0,9998425.7
CITY,2023-11-27,547.0,567.0,545.0,558.0,2.01 %,11888.0,6592066.0
CITY,2023-11-28,547.1,600.0,547.1,574.0,2.87 %,16293.0,9325104.1
CITY,2023-11-29,574.0,609.0,566.0,568.2,-1.01 %,16853.0,9856579.4
CITY,2023-11-30,558.5,566.0,552.8,559.0,-1.62 %,9154.0,5106931.8
CITY,2023-12-03,550.1,560.0,550.0,556.0,-0.54 %,2371.0,1319533.1
CITY,2023-12-04,555.0,575.0,549.0,561.0,0.90 %,10684.0,6048004.5
CITY,2023-12-05,551.2,571.0,550.0,551.1,-1.76 %,3032.0,1681805.0
CITY,2023-12-06,540.2,556.0,540.2,547.0,-0.74 %,6350.0,3490708.0
CITY,2023-12-07,545.0,569.0,542.4,552.0,0.91 %,8628.0,4822902.1
CITY,2023-12-10,563.0,593.0,557.0,593.0,7.43 %,4970.0,2804629.0
CITY,2023-12-11,604.8,604.8,575.0,588.0,-0.84 %,42426.0,24750072.7
CITY,2023-12-12,577.0,626.0,565.5,620.0,5.44 %,48431.0,29253306.5
CITY,2023-12-13,620.0,637.7,611.0,615.0,-0.81 %,20914.0,12998207.4
CITY,2023-12-14,603.1,620.0,602.8,610.0,-0.81 %,16645.0,10148631.4
CITY,2023-12-17,597.8,630.0,592.0,627.9,2.93 %,22256.0,13701502.1
CITY,2023-12-18,616.0,670.0,616.0,663.9,5.73 %,41253.0,26949001.8
CITY,2023-12-19,651.0,730.2,651.0,726.9,9.49 %,83015.0,58754116.1
CITY,2023-12-20,712.4,747.0,712.4,720.0,-0.95 %,54276.0,39782937.2
