Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turn Over
CZBIL,2012-01-01,170.0,173.0,167.0,173.0,1.76 %,1340.0,226620.0
CZBIL,2012-01-02,173.0,181.0,169.0,181.0,4.62 %,1498.0,258540.0
CZBIL,2012-01-03,181.0,185.0,178.0,178.0,-1.66 %,730.0,131640.0
CZBIL,2012-01-04,178.0,176.0,170.0,170.0,-4.49 %,780.0,134300.0
CZBIL,2012-01-05,170.0,167.0,164.0,164.0,-3.53 %,360.0,59280.0
CZBIL,2012-01-08,164.0,167.0,167.0,167.0,1.83 %,200.0,33400.0
CZBIL,2012-01-09,167.0,170.0,165.0,168.0,0.60 %,780.0,131760.0
CZBIL,2012-01-10,168.0,175.0,171.0,175.0,4.17 %,370.0,63560.0
CZBIL,2012-01-11,175.0,179.0,175.0,176.0,0.57 %,1290.0,227940.0
CZBIL,2012-01-12,176.0,177.0,175.0,177.0,0.57 %,1080.0,189840.0
CZBIL,2012-01-16,177.0,177.0,174.0,174.0,-1.69 %,280.0,48900.0
CZBIL,2012-01-17,174.0,174.0,169.0,174.0,0.00 %,3130.0,538734.0
CZBIL,2012-01-18,174.0,175.0,173.0,175.0,0.57 %,150.0,26070.0
CZBIL,2012-01-22,175.0,178.0,169.0,169.0,-3.43 %,246.0,42168.0
CZBIL,2012-01-23,169.0,172.0,170.0,171.0,1.18 %,698.0,118977.0
CZBIL,2012-01-25,171.0,177.0,171.0,171.0,0.00 %,776.0,135592.0
CZBIL,2012-01-26,171.0,174.0,171.0,173.0,1.17 %,326.0,56322.0
CZBIL,2012-01-29,173.0,176.0,176.0,176.0,1.73 %,378.0,66528.0
CZBIL,2012-01-31,176.0,173.0,165.0,169.0,-3.98 %,1221.0,204193.0
CZBIL,2012-02-01,169.0,173.0,169.0,170.0,0.59 %,1085.0,184303.0
CZBIL,2012-02-02,170.0,173.0,170.0,170.0,0.00 %,328.0,55880.0
CZBIL,2012-02-05,170.0,168.0,165.0,167.0,-1.76 %,320.0,53227.0
CZBIL,2012-02-06,167.0,173.0,167.0,167.0,0.00 %,1380.0,232738.0
CZBIL,2012-02-07,167.0,174.0,167.0,170.0,1.80 %,5356.0,910797.0
CZBIL,2012-02-08,170.0,171.0,167.0,169.0,-0.59 %,1143.0,193604.0
CZBIL,2012-02-09,169.0,170.0,166.0,166.0,-1.78 %,812.0,136331.0
CZBIL,2012-02-12,166.0,169.0,164.0,165.0,-0.60 %,505.0,83404.0
