Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turn Over
DDBL,2012-01-01,244.0,240.0,240.0,240.0,-1.64 %,89.0,21360.0
DDBL,2012-01-03,240.0,236.0,236.0,236.0,-1.67 %,200.0,47200.0
DDBL,2012-01-05,236.0,236.0,236.0,236.0,0.00 %,20.0,4720.0
DDBL,2012-01-08,236.0,237.0,237.0,237.0,0.42 %,167.0,39579.0
DDBL,2012-01-09,237.0,238.0,237.0,238.0,0.42 %,187.0,44339.0
DDBL,2012-01-10,238.0,234.0,234.0,234.0,-1.68 %,2400.0,561600.0
DDBL,2012-01-18,234.0,230.0,226.0,226.0,-3.42 %,270.0,61452.0
DDBL,2012-02-01,218.0,214.0,210.0,214.0,-1.83 %,377.0,80010.0
DDBL,2012-02-02,214.0,222.0,218.0,222.0,3.74 %,285.0,62574.0
DDBL,2012-02-05,222.0,222.0,222.0,222.0,0.00 %,221.0,49062.0
DDBL,2012-02-12,222.0,226.0,226.0,226.0,1.80 %,7423.0,1677598.0
DDBL,2012-02-23,226.0,230.0,230.0,230.0,1.77 %,274.0,63020.0
DDBL,2012-03-01,230.0,232.0,232.0,232.0,0.87 %,220.0,51040.0
DDBL,2012-03-11,232.0,240.0,236.0,236.0,1.72 %,209.0,49484.0
DDBL,2012-03-20,236.0,250.0,240.0,241.0,2.12 %,1086.0,265340.0
DDBL,2012-04-01,241.0,237.0,229.0,229.0,-4.98 %,40.0,9360.0
DDBL,2012-04-04,229.0,225.0,225.0,225.0,-1.75 %,10.0,2250.0
DDBL,2012-04-05,225.0,229.0,227.0,229.0,1.78 %,987.0,224561.0
DDBL,2012-04-08,229.0,229.0,229.0,229.0,0.00 %,110.0,25190.0
DDBL,2012-04-09,229.0,231.0,230.0,231.0,0.87 %,220.0,50710.0
DDBL,2012-04-12,231.0,235.0,235.0,235.0,1.73 %,20.0,4700.0
DDBL,2012-04-15,235.0,243.0,239.0,243.0,3.40 %,40.0,9640.0
DDBL,2012-04-17,243.0,247.0,247.0,247.0,1.65 %,10.0,2470.0
DDBL,2012-04-18,247.0,256.0,251.0,256.0,3.64 %,1040.0,266140.0
DDBL,2012-04-19,256.0,271.0,261.0,271.0,5.86 %,50.0,13300.0
DDBL,2012-04-22,271.0,281.0,276.0,281.0,3.69 %,240.0,67340.0
DDBL,2012-04-24,281.0,291.0,286.0,291.0,3.56 %,30.0,8680.0
DDBL,2012-04-26,291.0,296.0,296.0,296.0,1.72 %,309.0,91464.0
DDBL,2012-04-29,296.0,301.0,301.0,301.0,1.69 %,500.0,150500.0
DDBL,2012-04-30,301.0,295.0,295.0,295.0,-1.99 %,54.0,15930.0
DDBL,2012-05-09,295.0,300.0,300.0,300.0,1.69 %,20.0,6000.0
DDBL,2012-05-10,300.0,299.0,294.0,299.0,-0.33 %,600.0,177532.0
DDBL,2012-05-13,299.0,316.0,304.0,316.0,5.69 %,70.0,21760.0
DDBL,2012-05-15,316.0,310.0,310.0,310.0,-1.90 %,500.0,155000.0
DDBL,2012-05-16,310.0,316.0,316.0,316.0,1.94 %,33.0,10428.0
DDBL,2012-05-21,316.0,316.0,316.0,316.0,0.00 %,20.0,6320.0
DDBL,2012-05-22,316.0,316.0,304.0,310.0,-1.90 %,851.0,262156.0
DDBL,2012-05-23,310.0,304.0,293.0,293.0,-5.48 %,77.0,22881.0
DDBL,2012-05-24,293.0,290.0,278.0,283.0,-3.41 %,1130.0,322160.0
DDBL,2012-05-27,283.0,279.0,279.0,279.0,-1.41 %,220.0,61380.0
DDBL,2012-05-29,279.0,274.0,255.0,255.0,-8.60 %,190.0,49250.0
DDBL,2012-06-05,255.0,270.0,260.0,270.0,5.88 %,408.0,109860.0
DDBL,2012-06-13,270.0,275.0,275.0,275.0,1.85 %,167.0,45925.0
DDBL,2012-06-17,275.0,270.0,270.0,270.0,-1.82 %,366.0,98820.0
DDBL,2012-06-18,270.0,270.0,265.0,270.0,0.00 %,234.0,62510.0
DDBL,2012-06-20,270.0,273.0,272.0,273.0,1.11 %,650.0,177300.0
DDBL,2012-06-21,273.0,275.0,275.0,275.0,0.73 %,500.0,137500.0
DDBL,2012-06-28,275.0,270.0,270.0,270.0,-1.82 %,257.0,69390.0
DDBL,2012-07-04,270.0,280.0,275.0,280.0,3.70 %,34.0,9470.0
DDBL,2012-07-05,280.0,290.0,285.0,290.0,3.57 %,60.0,17350.0
DDBL,2012-07-09,290.0,295.0,295.0,295.0,1.72 %,30.0,8850.0
DDBL,2012-07-12,295.0,290.0,289.0,289.0,-2.03 %,300.0,86800.0
DDBL,2012-07-15,289.0,284.0,280.0,280.0,-3.11 %,1420.0,398000.0
DDBL,2012-07-16,280.0,280.0,280.0,280.0,0.00 %,110.0,30800.0
DDBL,2012-07-18,280.0,285.0,285.0,285.0,1.79 %,110.0,31350.0
