Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turn Over
GBLBS,2018-04-29,658.0,684.0,630.0,635.0,-1.70 %,5440.0,3485200.0
GBLBS,2018-05-02,635.0,665.0,620.0,653.0,2.83 %,19051.0,11928412.0
GBLBS,2018-05-03,664.0,664.0,640.0,653.0,0.00 %,28360.0,18415800.0
GBLBS,2018-05-06,641.0,666.0,636.0,641.0,-1.84 %,6806.0,4382500.0
GBLBS,2018-05-07,632.0,650.0,632.0,639.0,-0.31 %,9642.0,6213300.0
GBLBS,2018-05-08,640.0,669.0,632.0,669.0,4.69 %,4739.0,3054770.0
GBLBS,2018-05-09,669.0,670.0,642.0,652.0,-2.54 %,13120.0,8518250.0
GBLBS,2018-05-10,652.0,649.0,640.0,640.0,-1.84 %,9005.0,5792895.0
GBLBS,2018-05-14,642.0,652.0,626.0,626.0,-2.19 %,4437.0,2811080.0
GBLBS,2018-05-15,638.0,648.0,618.0,627.0,0.16 %,1849.0,1163600.0
GBLBS,2018-05-16,625.0,641.0,615.0,630.0,0.48 %,4131.0,2591160.0
GBLBS,2018-05-17,630.0,642.0,626.0,629.0,-0.16 %,5330.0,3361750.0
GBLBS,2018-05-20,639.0,650.0,630.0,635.0,0.95 %,2447.0,1549180.0
GBLBS,2018-05-21,630.0,645.0,625.0,645.0,1.57 %,5718.0,3601650.0
GBLBS,2018-05-22,635.0,645.0,626.0,633.0,-1.86 %,1450.0,922630.0
GBLBS,2018-05-23,630.0,650.0,628.0,641.0,1.26 %,1604.0,1023470.0
GBLBS,2018-05-24,641.0,641.0,623.0,623.0,-2.81 %,4580.0,2871920.0
GBLBS,2018-05-27,614.0,623.0,614.0,617.0,-0.96 %,9448.0,5846430.0
GBLBS,2018-05-28,617.0,646.0,606.0,646.0,4.70 %,9675.0,6074995.0
GBLBS,2018-05-29,652.0,653.0,628.0,630.0,-1.86 %,11597.0,7349570.0
GBLBS,2018-05-30,625.0,646.0,625.0,632.0,-0.31 %,5305.0,3392380.0
GBLBS,2018-05-31,635.0,639.0,620.0,620.0,-1.90 %,5055.0,3179300.0
GBLBS,2018-06-03,610.0,620.0,589.0,595.0,-4.35 %,12369.0,7410140.0
GBLBS,2018-06-04,583.0,604.0,582.0,586.0,-1.18 %,5185.0,3055350.0
GBLBS,2018-06-06,597.0,620.0,597.0,614.0,2.90 %,11010.0,6679300.0
GBLBS,2018-06-07,615.0,615.0,585.0,586.0,-2.99 %,8035.0,4778500.0
GBLBS,2018-06-10,590.0,590.0,568.0,570.0,-2.56 %,4335.0,2492810.0
GBLBS,2018-06-11,560.0,590.0,560.0,575.0,0.88 %,10251.0,5843070.0
GBLBS,2018-06-12,568.0,585.0,560.0,576.0,0.17 %,3890.0,2233620.0
GBLBS,2018-06-13,576.0,633.0,569.0,623.0,8.33 %,23228.0,14047300.0
GBLBS,2018-06-14,630.0,648.0,616.0,645.0,3.04 %,27640.0,17701200.0
GBLBS,2018-06-17,655.0,667.0,636.0,649.0,0.93 %,35147.0,22754900.0
GBLBS,2018-06-18,637.0,650.0,631.0,637.0,-1.85 %,10805.0,6920320.0
GBLBS,2018-06-19,640.0,651.0,625.0,628.0,-1.41 %,12890.0,8139990.0
GBLBS,2018-06-20,625.0,635.0,615.0,623.0,-0.80 %,8990.0,5605390.0
GBLBS,2018-06-21,613.0,629.0,609.0,609.0,-2.25 %,4402.0,2722120.0
GBLBS,2018-06-24,603.0,628.0,603.0,607.0,-0.33 %,9348.0,5766310.0
GBLBS,2018-06-25,595.0,614.0,595.0,600.0,-1.15 %,9966.0,5983460.0
GBLBS,2018-06-26,600.0,600.0,592.0,594.0,-1.33 %,4678.0,2794320.0
GBLBS,2018-06-27,590.0,612.0,581.0,600.0,1.35 %,2425.0,1458240.0
GBLBS,2018-06-28,602.0,602.0,592.0,592.0,-1.33 %,3360.0,2002960.0
GBLBS,2018-07-01,574.0,580.0,574.0,575.0,-1.03 %,4160.0,2396710.0
GBLBS,2018-07-02,577.0,579.0,572.0,574.0,0.00 %,4080.0,2343520.0
GBLBS,2018-07-03,570.0,585.0,570.0,580.0,0.52 %,980.0,561870.0
GBLBS,2018-07-04,570.0,596.0,570.0,595.0,2.59 %,3406.0,1988290.0
GBLBS,2018-07-05,595.0,628.0,595.0,625.0,5.04 %,8340.0,5112830.0
GBLBS,2018-07-08,630.0,630.0,611.0,614.0,-1.76 %,19201.0,11922500.0
GBLBS,2018-07-09,615.0,623.0,603.0,609.0,-0.81 %,4080.0,2492690.0
GBLBS,2018-07-10,609.0,615.0,591.0,609.0,0.00 %,11058.0,6735400.0
GBLBS,2018-07-11,620.0,635.0,612.0,615.0,0.99 %,22771.0,14198700.0
GBLBS,2018-07-12,627.0,627.0,588.0,600.0,-2.44 %,12188.0,7250060.0
GBLBS,2018-07-15,600.0,605.0,594.0,605.0,0.83 %,3975.0,2380560.0
GBLBS,2018-07-16,605.0,625.0,597.0,610.0,1.32 %,4343.0,2643220.0
GBLBS,2018-07-17,613.0,613.0,603.0,603.0,-1.63 %,970.0,589030.0
GBLBS,2018-07-18,603.0,603.0,595.0,600.0,-0.33 %,3175.0,1904750.0
GBLBS,2018-07-19,600.0,605.0,589.0,590.0,-1.83 %,4448.0,2632950.0
GBLBS,2018-07-22,582.0,590.0,576.0,579.0,-1.19 %,5270.0,3062600.0
GBLBS,2018-07-23,575.0,599.0,575.0,589.0,1.03 %,3209.0,1883080.0
GBLBS,2018-07-24,600.0,611.0,586.0,590.0,-0.51 %,8626.0,5146590.0
GBLBS,2018-07-25,590.0,590.0,580.0,587.0,0.17 %,2530.0,1478130.0
GBLBS,2018-07-26,580.0,595.0,579.0,580.0,-1.19 %,6183.0,3608340.0
GBLBS,2018-07-29,571.0,590.0,571.0,580.0,0.00 %,4310.0,2492050.0
GBLBS,2018-07-30,585.0,588.0,575.0,588.0,1.38 %,5103.0,2949160.0
GBLBS,2018-07-31,598.0,598.0,575.0,580.0,-1.36 %,4420.0,2555670.0
GBLBS,2018-08-01,574.0,580.0,574.0,575.0,-1.03 %,4160.0,2396710.0
GBLBS,2018-08-02,577.0,579.0,572.0,574.0,0.00 %,4080.0,2343520.0
GBLBS,2018-08-05,574.0,574.0,565.0,569.0,-0.87 %,2950.0,1675880.0
GBLBS,2018-08-06,574.0,579.0,561.0,573.0,0.70 %,6869.0,3882260.0
GBLBS,2018-08-07,562.0,575.0,562.0,571.0,-0.35 %,490.0,277940.0
GBLBS,2018-08-08,560.0,569.0,560.0,561.0,-1.75 %,2300.0,1291190.0
GBLBS,2018-08-09,559.0,561.0,558.0,558.0,-0.53 %,3920.0,2192880.0
GBLBS,2018-08-12,559.0,559.0,544.0,548.0,-1.79 %,3742.0,2054860.0
GBLBS,2018-08-13,538.0,558.0,533.0,555.0,1.82 %,700.0,384650.0
GBLBS,2018-08-14,569.0,574.0,549.0,571.0,2.87 %,5032.0,2809710.0
GBLBS,2018-08-15,574.0,585.0,564.0,584.0,1.74 %,6896.0,3973440.0
GBLBS,2018-08-16,580.0,589.0,571.0,571.0,-2.23 %,8283.0,4774910.0
GBLBS,2018-08-19,582.0,616.0,566.0,583.0,2.10 %,59551.0,34576300.0
GBLBS,2018-08-20,572.0,582.0,565.0,570.0,-2.23 %,4520.0,2578730.0
GBLBS,2018-08-21,570.0,575.0,565.0,570.0,0.00 %,3841.0,2179460.0
GBLBS,2018-08-22,569.0,569.0,559.0,564.0,-1.05 %,4525.0,2545690.0
GBLBS,2018-08-23,569.0,569.0,550.0,550.0,-2.48 %,8163.0,4528630.0
GBLBS,2018-08-26,545.0,560.0,540.0,547.0,-0.54 %,5430.0,2982470.0
GBLBS,2018-08-28,545.0,553.0,541.0,553.0,1.10 %,2700.0,1481900.0
GBLBS,2018-08-29,555.0,555.0,537.0,547.0,-1.08 %,6065.0,3293060.0
GBLBS,2018-08-30,547.0,560.0,539.0,541.0,-1.28 %,7918.0,4309240.0
GBLBS,2018-09-02,546.0,556.0,540.0,545.0,0.93 %,2955.0,1607620.0
GBLBS,2018-09-04,555.0,555.0,542.0,547.0,0.37 %,1326.0,727780.0
GBLBS,2018-09-05,550.0,566.0,547.0,554.0,1.28 %,7238.0,4031960.0
GBLBS,2018-09-06,554.0,575.0,550.0,551.0,-0.54 %,7089.0,3969190.0
GBLBS,2018-09-09,555.0,555.0,540.0,542.0,-2.69 %,1835.0,997830.0
GBLBS,2018-09-10,534.0,549.0,533.0,543.0,0.18 %,1570.0,853440.0
GBLBS,2018-09-11,540.0,560.0,540.0,547.0,0.74 %,1330.0,730700.0
GBLBS,2018-09-12,540.0,560.0,540.0,555.0,1.46 %,3910.0,2168880.0
GBLBS,2018-09-13,555.0,555.0,545.0,546.0,-1.62 %,4876.0,2683440.0
GBLBS,2018-09-16,556.0,567.0,553.0,553.0,1.28 %,11699.0,6544130.0
GBLBS,2018-09-17,553.0,564.0,553.0,555.0,0.36 %,3090.0,1720120.0
GBLBS,2018-09-18,560.0,569.0,552.0,560.0,0.90 %,3511.0,1960310.0
GBLBS,2018-09-20,555.0,560.0,550.0,552.0,-1.43 %,2680.0,1488740.0
GBLBS,2018-09-23,563.0,563.0,552.0,552.0,0.00 %,5578.0,3099020.0
GBLBS,2018-09-25,563.0,570.0,547.0,548.0,-0.72 %,5000.0,2760380.0
GBLBS,2018-09-26,558.0,562.0,552.0,552.0,-0.54 %,2709.0,1500770.0
GBLBS,2018-09-27,543.0,555.0,543.0,554.0,0.36 %,1543.0,850195.0
GBLBS,2018-09-30,550.0,555.0,540.0,545.0,-1.62 %,5131.0,2799320.0
GBLBS,2018-10-01,545.0,554.0,538.0,540.0,-0.92 %,3900.0,2107720.0
GBLBS,2018-10-02,540.0,541.0,535.0,537.0,-0.56 %,970.0,521650.0
GBLBS,2018-10-03,531.0,536.0,528.0,530.0,-0.93 %,3098.0,1643990.0
GBLBS,2018-10-04,532.0,536.0,525.0,535.0,0.56 %,3751.0,1985340.0
GBLBS,2018-10-07,530.0,541.0,526.0,530.0,-0.93 %,2049.0,1092140.0
GBLBS,2018-10-08,530.0,540.0,522.0,523.0,-1.51 %,1592.0,835378.0
GBLBS,2018-10-09,532.0,532.0,516.0,517.0,-1.15 %,3130.0,1625740.0
GBLBS,2018-10-10,520.0,526.0,512.0,512.0,-0.78 %,950.0,489570.0
GBLBS,2018-10-11,515.0,525.0,507.0,525.0,2.54 %,1578.0,808452.0
GBLBS,2018-10-14,530.0,530.0,516.0,519.0,-1.14 %,850.0,446030.0
GBLBS,2018-10-15,529.0,539.0,518.0,518.0,-0.19 %,750.0,391500.0
GBLBS,2018-10-21,520.0,525.0,511.0,514.0,-0.77 %,280.0,145220.0
GBLBS,2018-10-22,508.0,515.0,508.0,510.0,-0.78 %,760.0,387860.0
GBLBS,2018-10-23,520.0,520.0,509.0,510.0,0.00 %,250.0,127760.0
GBLBS,2018-10-24,510.0,519.0,510.0,518.0,1.57 %,1440.0,742070.0
GBLBS,2018-10-25,515.0,520.0,511.0,517.0,0.39 %,2770.0,1423570.0
GBLBS,2018-10-28,519.0,519.0,502.0,510.0,-2.12 %,1579.0,803045.0
GBLBS,2018-10-29,509.0,509.0,501.0,506.0,-0.59 %,1458.0,738044.0
GBLBS,2018-10-30,506.0,516.0,501.0,506.0,0.00 %,1010.0,509050.0
GBLBS,2018-10-31,501.0,510.0,500.0,501.0,-1.19 %,1060.0,531490.0
GBLBS,2018-11-01,500.0,503.0,490.0,500.0,0.00 %,3705.0,1842340.0
GBLBS,2018-11-04,490.0,510.0,485.0,505.0,1.00 %,1295.0,639480.0
GBLBS,2018-11-05,515.0,515.0,495.0,504.0,0.40 %,1152.0,577096.0
GBLBS,2018-11-14,491.0,494.0,483.0,489.0,-0.41 %,155.0,75975.0
GBLBS,2018-11-15,489.0,493.0,476.0,485.0,-0.82 %,4990.0,9700.0
GBLBS,2018-11-18,485.0,485.0,471.0,474.0,-2.27 %,1388.0,68400.0
GBLBS,2018-11-19,474.0,474.0,452.0,456.0,-3.80 %,5506.0,4560.0
GBLBS,2018-11-20,456.0,475.0,449.0,475.0,4.17 %,2442.0,9500.0
GBLBS,2018-11-21,475.0,475.0,451.0,455.0,-4.21 %,4466.0,91000.0
GBLBS,2018-11-22,455.0,455.0,448.0,452.0,-0.66 %,630.0,4520.0
GBLBS,2018-11-25,452.0,456.0,446.0,446.0,-1.33 %,1900.0,84740.0
GBLBS,2018-11-26,446.0,448.0,432.0,432.0,-3.14 %,2220.0,4320.0
GBLBS,2018-11-27,432.0,440.0,432.0,434.0,0.46 %,6250.0,4340.0
GBLBS,2018-11-28,434.0,450.0,434.0,449.0,3.46 %,180.0,4490.0
GBLBS,2018-11-29,449.0,449.0,430.0,430.0,-4.23 %,2826.0,8600.0
GBLBS,2018-12-02,430.0,430.0,407.0,415.0,-3.49 %,2964.0,4150.0
GBLBS,2018-12-03,415.0,429.0,400.0,400.0,-3.61 %,4607.0,4030.0
GBLBS,2018-12-04,400.0,405.0,400.0,404.0,1.00 %,820.0,40400.0
GBLBS,2018-12-06,393.0,408.0,392.0,399.0,1.53 %,370.0,3990.0
GBLBS,2018-12-09,399.0,403.0,393.0,398.0,-0.25 %,3065.0,35820.0
GBLBS,2018-12-10,398.0,415.0,398.0,412.0,3.52 %,2530.0,123600.0
GBLBS,2018-12-11,412.0,413.0,397.0,397.0,-3.64 %,6375.0,10125.0
GBLBS,2018-12-12,397.0,404.0,397.0,404.0,1.76 %,540.0,32320.0
GBLBS,2018-12-13,404.0,417.0,401.0,414.0,2.48 %,2590.0,8260.0
GBLBS,2018-12-16,414.0,428.0,412.0,418.0,0.97 %,3680.0,83600.0
GBLBS,2018-12-17,418.0,441.0,414.0,441.0,5.50 %,4140.0,44100.0
GBLBS,2018-12-18,442.0,447.0,420.0,421.0,-4.75 %,4804.0,17682.0
GBLBS,2018-12-19,421.0,428.0,412.0,414.0,-1.66 %,1130.0,4140.0
GBLBS,2018-12-20,414.0,423.0,414.0,421.0,1.69 %,4485.0,29400.0
GBLBS,2018-12-23,421.0,448.0,420.0,445.0,5.70 %,15687.0,8900.0
GBLBS,2018-12-24,445.0,462.0,436.0,440.0,-1.12 %,9256.0,8800.0
GBLBS,2018-12-25,440.0,440.0,430.0,430.0,-2.27 %,1963.0,30170.0
GBLBS,2018-12-26,430.0,457.0,430.0,457.0,6.28 %,7312.0,91400.0
GBLBS,2018-12-27,457.0,466.0,436.0,437.0,-4.38 %,10519.0,4370.0
GBLBS,2018-12-30,437.0,462.0,437.0,446.0,2.06 %,8420.0,147510.0
GBLBS,2018-12-31,446.0,455.0,438.0,449.0,0.67 %,6070.0,306667.0
GBLBS,2019-01-01,449.0,454.0,441.0,441.0,-1.78 %,2800.0,35280.0
GBLBS,2019-01-02,441.0,443.0,434.0,435.0,-1.36 %,2911.0,21750.0
GBLBS,2019-01-03,435.0,436.0,428.0,432.0,-0.69 %,5385.0,43200.0
GBLBS,2019-01-06,432.0,432.0,428.0,428.0,-0.93 %,490.0,4280.0
GBLBS,2019-01-07,428.0,436.0,428.0,435.0,1.64 %,845.0,4350.0
GBLBS,2019-01-08,435.0,443.0,432.0,432.0,-0.69 %,1007.0,4320.0
GBLBS,2019-01-09,432.0,435.0,430.0,432.0,0.00 %,935.0,34560.0
GBLBS,2019-01-10,432.0,435.0,428.0,435.0,0.69 %,290.0,8700.0
GBLBS,2019-01-13,435.0,435.0,424.0,424.0,-2.53 %,852.0,4240.0
GBLBS,2019-01-14,424.0,430.0,421.0,425.0,0.24 %,400.0,17000.0
