Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turn Over
HIDCL,2016-07-12,0.0,359.0,328.0,359.0,-3.36 %,29034.0,9524682.0
HIDCL,2016-07-13,359.0,394.0,366.0,394.0,9.75 %,36508.0,14383452.0
HIDCL,2016-07-14,384.0,433.0,384.0,433.0,9.90 %,383111.0,163101000.0
HIDCL,2016-07-17,433.0,476.0,424.0,476.0,9.93 %,279518.0,127263297.0
HIDCL,2016-07-18,476.0,501.0,441.0,455.0,-4.41 %,165946.0,79410151.0
HIDCL,2016-07-19,464.0,464.0,421.0,427.0,-6.15 %,139774.0,60438800.0
HIDCL,2016-07-20,432.0,432.0,400.0,400.0,-6.32 %,107322.0,43864900.0
HIDCL,2016-07-21,400.0,430.0,402.0,410.0,2.50 %,49398.0,20279632.0
HIDCL,2016-07-25,410.0,432.0,405.0,430.0,4.88 %,45118.0,19020424.0
HIDCL,2016-07-26,430.0,449.0,422.0,430.0,0.00 %,53932.0,23229835.0
HIDCL,2016-07-27,430.0,435.0,418.0,425.0,-1.16 %,42012.0,17821236.0
HIDCL,2016-07-28,425.0,425.0,415.0,416.0,-2.12 %,20633.0,8672405.0
HIDCL,2016-07-31,416.0,420.0,410.0,412.0,-0.96 %,30489.0,12657403.0
HIDCL,2016-08-01,412.0,417.0,407.0,408.0,-0.97 %,38734.0,15889440.0
HIDCL,2016-08-02,408.0,416.0,400.0,405.0,-0.74 %,42066.0,17085742.0
HIDCL,2016-08-03,405.0,410.0,400.0,403.0,-0.49 %,40746.0,16462322.0
HIDCL,2016-08-04,403.0,417.0,389.0,391.0,-2.98 %,51130.0,20371798.0
HIDCL,2016-08-07,391.0,410.0,390.0,390.0,-0.26 %,45554.0,18139408.0
HIDCL,2016-08-08,390.0,387.0,369.0,369.0,-5.38 %,29440.0,11217379.0
HIDCL,2016-08-09,376.0,397.0,376.0,395.0,7.05 %,16573.0,6415360.0
HIDCL,2016-08-10,400.0,402.0,385.0,388.0,-1.77 %,44128.0,17307700.0
HIDCL,2016-08-11,390.0,392.0,383.0,390.0,-0.51 %,34904.0,13512900.0
HIDCL,2016-08-14,385.0,390.0,358.0,362.0,-7.18 %,49307.0,18049000.0
HIDCL,2016-08-15,366.0,366.0,338.0,344.0,-4.97 %,36829.0,12687900.0
HIDCL,2016-08-16,338.0,355.0,336.0,350.0,1.74 %,36420.0,12532500.0
HIDCL,2016-08-17,350.0,357.0,345.0,355.0,1.43 %,33053.0,11593700.0
HIDCL,2016-08-21,355.0,356.0,344.0,346.0,-2.54 %,14759.0,5152710.0
HIDCL,2016-08-22,340.0,341.0,326.0,329.0,-4.91 %,30973.0,10319800.0
HIDCL,2016-08-23,325.0,330.0,319.0,325.0,-1.22 %,29800.0,9665680.0
HIDCL,2016-08-24,325.0,339.0,325.0,335.0,3.08 %,20017.0,6628560.0
HIDCL,2016-08-28,336.0,346.0,330.0,331.0,-1.19 %,16833.0,5611280.0
HIDCL,2016-08-29,333.0,334.0,321.0,326.0,-1.51 %,25024.0,8170050.0
HIDCL,2016-08-30,326.0,338.0,326.0,331.0,1.53 %,28564.0,9463540.0
HIDCL,2016-08-31,332.0,333.0,320.0,325.0,-1.81 %,18569.0,6084660.0
HIDCL,2016-09-01,328.0,328.0,320.0,325.0,0.00 %,19977.0,6480050.0
HIDCL,2016-09-04,325.0,325.0,317.0,320.0,-1.54 %,18682.0,5991950.0
HIDCL,2016-09-05,320.0,324.0,312.0,324.0,1.25 %,20849.0,6636790.0
HIDCL,2016-09-06,318.0,326.0,316.0,320.0,-1.23 %,23174.0,7419680.0
HIDCL,2016-09-07,314.0,325.0,314.0,321.0,0.31 %,13664.0,4376280.0
HIDCL,2016-09-08,320.0,329.0,317.0,324.0,0.93 %,22517.0,7248200.0
HIDCL,2016-09-11,319.0,330.0,315.0,316.0,-2.47 %,28696.0,9143190.0
HIDCL,2016-09-12,315.0,319.0,311.0,313.0,-0.95 %,31672.0,9942220.0
HIDCL,2016-09-14,312.0,314.0,303.0,305.0,-2.56 %,33290.0,10291800.0
HIDCL,2016-09-18,310.0,315.0,303.0,305.0,0.00 %,28671.0,8835180.0
HIDCL,2016-09-20,308.0,306.0,298.0,299.0,-1.97 %,22726.0,6850300.0
HIDCL,2016-09-21,302.0,303.0,295.0,301.0,0.67 %,29742.0,8911360.0
HIDCL,2016-09-22,302.0,307.0,296.0,300.0,-0.33 %,22034.0,6607610.0
HIDCL,2016-09-25,302.0,307.0,296.0,300.0,-0.33 %,22034.0,6607610.0
HIDCL,2016-09-26,299.0,300.0,295.0,298.0,1.02 %,20918.0,6220620.0
HIDCL,2016-09-27,298.0,303.0,295.0,300.0,0.67 %,45477.0,13588100.0
HIDCL,2016-09-28,295.0,301.0,295.0,301.0,0.33 %,19123.0,5728480.0
HIDCL,2016-09-29,301.0,302.0,297.0,297.0,-1.33 %,24587.0,7379650.0
HIDCL,2016-10-02,300.0,310.0,295.0,308.0,3.70 %,10053.0,3061510.0
HIDCL,2016-10-03,303.0,311.0,301.0,305.0,-0.97 %,7688.0,2362110.0
HIDCL,2016-10-04,306.0,309.0,297.0,300.0,-1.64 %,12183.0,3670160.0
HIDCL,2016-10-05,300.0,304.0,299.0,300.0,0.00 %,11360.0,3410250.0
HIDCL,2016-10-06,304.0,305.0,298.0,300.0,0.00 %,16601.0,4983460.0
HIDCL,2016-10-16,296.0,303.0,295.0,299.0,-0.33 %,16068.0,4823590.0
HIDCL,2016-10-17,298.0,300.0,292.0,299.0,0.00 %,8452.0,2507980.0
HIDCL,2016-10-18,299.0,300.0,291.0,300.0,0.33 %,12086.0,3593200.0
HIDCL,2016-10-19,302.0,303.0,294.0,297.0,-1.00 %,20664.0,6154180.0
HIDCL,2016-10-20,300.0,299.0,296.0,298.0,0.34 %,16334.0,4861310.0
HIDCL,2016-10-23,300.0,300.0,294.0,300.0,0.67 %,17264.0,5131370.0
HIDCL,2016-10-24,295.0,299.0,293.0,296.0,-1.33 %,6900.0,2041690.0
HIDCL,2016-10-25,299.0,299.0,284.0,293.0,-1.01 %,10061.0,2913070.0
HIDCL,2016-10-26,290.0,291.0,281.0,283.0,-3.41 %,14748.0,4194740.0
HIDCL,2016-10-27,283.0,287.0,280.0,286.0,1.06 %,13510.0,3845670.0
HIDCL,2016-11-03,285.0,286.0,280.0,284.0,-0.70 %,3562.0,1007410.0
HIDCL,2016-11-07,285.0,285.0,278.0,280.0,-1.41 %,9702.0,2721840.0
HIDCL,2016-11-08,280.0,285.0,278.0,284.0,1.43 %,15000.0,4207380.0
HIDCL,2016-11-09,284.0,289.0,271.0,275.0,-3.17 %,22637.0,6284910.0
HIDCL,2016-11-10,275.0,292.0,275.0,282.0,2.54 %,24708.0,6916520.0
HIDCL,2016-11-13,280.0,281.0,270.0,277.0,-1.77 %,23973.0,6656260.0
HIDCL,2016-11-14,276.0,284.0,268.0,279.0,0.72 %,21791.0,6043620.0
HIDCL,2016-11-15,278.0,281.0,272.0,281.0,0.72 %,43991.0,12166200.0
HIDCL,2016-11-16,282.0,290.0,277.0,283.0,0.71 %,20539.0,5771200.0
HIDCL,2016-11-17,278.0,280.0,273.0,278.0,-1.77 %,18364.0,5096040.0
HIDCL,2016-11-20,277.0,282.0,265.0,272.0,-2.16 %,24936.0,6802640.0
HIDCL,2016-11-21,277.0,277.0,260.0,274.0,0.74 %,13058.0,3474050.0
HIDCL,2016-11-22,271.0,279.0,269.0,275.0,0.36 %,27376.0,7533650.0
HIDCL,2016-11-23,275.0,278.0,270.0,272.0,-1.09 %,10423.0,2842020.0
HIDCL,2016-11-24,273.0,275.0,260.0,269.0,-1.10 %,13798.0,3640400.0
HIDCL,2016-11-27,264.0,264.0,248.0,257.0,-4.46 %,13181.0,3349920.0
HIDCL,2016-11-28,257.0,257.0,236.0,257.0,0.00 %,13709.0,3346010.0
HIDCL,2016-11-29,262.0,265.0,250.0,260.0,1.17 %,13035.0,3374000.0
HIDCL,2016-11-30,265.0,270.0,260.0,265.0,1.92 %,13682.0,3598390.0
HIDCL,2016-12-01,270.0,273.0,255.0,267.0,0.75 %,28307.0,7368500.0
HIDCL,2016-12-04,267.0,268.0,256.0,261.0,-2.25 %,23562.0,6115160.0
HIDCL,2016-12-05,261.0,264.0,251.0,258.0,-1.15 %,7517.0,1941910.0
HIDCL,2016-12-06,258.0,260.0,250.0,259.0,0.39 %,7627.0,1942310.0
