Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turn Over
ILI,2023-08-06,529.5,582.4,529.5,582.4,0.00 %,54780.0,31883777.5
ILI,2023-08-07,594.0,640.6,594.0,616.0,5.77 %,701803.0,436259348.0
ILI,2023-08-08,616.0,619.0,585.0,589.0,-4.38 %,299597.0,178932202.6
ILI,2023-08-09,598.0,600.7,571.2,597.3,1.41 %,266818.0,155026202.2
ILI,2023-08-10,604.0,609.0,583.0,590.0,-1.22 %,141998.0,84078844.8
ILI,2023-08-13,590.0,595.0,580.0,580.8,-1.56 %,182198.0,106195208.6
ILI,2023-08-14,569.2,596.8,569.2,589.9,1.57 %,191385.0,112441979.6
ILI,2023-08-15,600.0,600.0,580.3,581.0,-1.51 %,98939.0,57775243.8
ILI,2023-08-16,580.0,585.0,575.2,576.9,-0.71 %,103174.0,59662670.3
ILI,2023-08-17,575.0,590.0,571.0,583.1,1.07 %,133203.0,77941378.1
ILI,2023-08-20,583.0,585.0,578.0,580.0,-0.53 %,114230.0,66301070.7
ILI,2023-08-21,580.0,582.9,572.1,577.0,-0.52 %,101241.0,58377288.5
ILI,2023-08-22,567.0,579.0,567.0,576.0,-0.17 %,61149.0,35115293.5
ILI,2023-08-23,575.0,585.0,574.0,579.1,0.54 %,94254.0,54642813.7
ILI,2023-08-24,580.0,590.0,570.0,570.2,-1.54 %,85739.0,49248761.4
ILI,2023-08-27,570.0,570.0,555.0,558.0,-2.14 %,97116.0,54517226.7
ILI,2023-08-28,551.1,564.0,551.1,554.5,-0.63 %,69132.0,38488289.2
ILI,2023-08-29,554.0,558.0,550.0,550.9,-0.65 %,58882.0,32475795.1
ILI,2023-08-30,548.0,554.0,548.0,549.2,-0.31 %,60855.0,33561227.8
ILI,2023-09-03,550.0,553.0,541.0,541.3,-1.44 %,69096.0,37641946.1
ILI,2023-09-04,540.0,559.0,540.0,559.0,3.27 %,96212.0,52884032.5
ILI,2023-09-05,559.0,560.0,552.0,556.4,-0.47 %,50793.0,28241754.2
ILI,2023-09-07,551.1,551.1,544.3,545.5,-1.96 %,57647.0,31488083.1
ILI,2023-09-10,540.1,549.9,535.6,538.8,-1.23 %,72788.0,39331365.6
ILI,2023-09-11,528.2,552.0,528.2,550.0,2.08 %,63895.0,34930948.3
ILI,2023-09-12,539.6,566.0,539.6,541.2,-1.60 %,60371.0,32991921.1
ILI,2023-09-13,540.0,555.3,540.0,554.0,2.37 %,70531.0,38824316.6
ILI,2023-09-17,553.0,555.0,535.3,536.0,-3.25 %,86027.0,46586887.9
ILI,2023-09-18,535.0,540.0,530.0,540.0,0.75 %,45272.0,24206897.0
ILI,2023-09-19,531.0,540.0,531.0,537.0,-0.56 %,42969.0,23016831.4
ILI,2023-09-21,540.0,554.0,538.1,543.2,1.15 %,107149.0,58427180.3
ILI,2023-09-24,545.0,545.0,531.1,531.5,-2.15 %,54688.0,29346959.7
ILI,2023-09-25,531.0,539.9,530.1,530.3,-0.23 %,45640.0,24324519.7
ILI,2023-09-26,535.0,540.8,533.1,538.0,1.45 %,51509.0,27691630.2
ILI,2023-09-27,534.0,545.0,530.6,532.5,-1.02 %,46183.0,24613696.9
ILI,2023-10-01,530.0,531.0,516.3,520.1,-2.33 %,68794.0,35920377.0
ILI,2023-10-02,515.0,522.0,511.0,514.0,-1.17 %,50083.0,25761547.5
ILI,2023-10-03,513.0,514.0,505.0,506.0,-1.56 %,35796.0,18209584.1
ILI,2023-10-04,508.0,518.0,507.0,510.0,0.79 %,44037.0,22493579.1
ILI,2023-10-05,507.0,510.5,502.0,503.3,-1.31 %,36244.0,18337140.1
ILI,2023-10-08,500.0,504.5,484.1,486.0,-3.44 %,85829.0,42050442.3
ILI,2023-10-09,480.0,494.0,477.3,481.0,-1.03 %,42793.0,20663593.2
ILI,2023-10-10,481.0,490.0,476.0,477.0,-0.83 %,31208.0,14946842.5
ILI,2023-10-11,475.0,483.0,472.5,480.2,0.67 %,36280.0,17371946.6
ILI,2023-10-12,475.5,483.0,473.1,480.9,0.15 %,50497.0,24125533.0
ILI,2023-10-16,473.2,480.0,460.6,467.1,-2.87 %,61593.0,28783902.7
ILI,2023-10-17,467.1,484.5,463.3,484.5,3.73 %,42542.0,20122737.5
ILI,2023-10-18,475.1,494.0,475.1,489.5,1.03 %,49828.0,24277088.3
ILI,2023-10-19,489.1,497.6,481.3,485.2,-0.88 %,47462.0,23146459.5
ILI,2023-10-29,485.0,485.0,469.0,470.2,-3.09 %,24923.0,11735062.5
ILI,2023-10-30,470.0,471.0,461.5,468.0,-0.47 %,15882.0,7390878.1
ILI,2023-10-31,465.0,469.0,461.1,462.1,-1.26 %,18484.0,8566266.5
ILI,2023-11-01,460.6,466.0,459.1,460.0,-0.45 %,17431.0,8036033.7
ILI,2023-11-02,452.2,474.3,450.0,452.0,-1.74 %,27479.0,12478078.4
ILI,2023-11-05,446.0,453.0,444.0,452.0,0.00 %,31593.0,14137640.1
ILI,2023-11-06,446.1,461.0,446.1,456.8,1.06 %,24440.0,11160394.0
ILI,2023-11-07,451.0,468.2,451.0,465.1,1.82 %,30656.0,14127082.5
ILI,2023-11-08,465.0,474.0,458.0,469.5,0.95 %,33311.0,15585102.9
ILI,2023-11-09,463.0,478.8,463.0,465.1,-0.94 %,24362.0,11356102.4
ILI,2023-11-20,465.0,479.0,460.1,464.0,-0.24 %,24427.0,11430407.3
ILI,2023-11-21,470.0,473.0,456.7,458.7,-1.14 %,27383.0,12578802.9
ILI,2023-11-22,455.0,468.0,450.3,467.7,1.96 %,20892.0,9629710.0
ILI,2023-11-23,464.0,492.0,460.2,487.0,4.13 %,55355.0,26704522.1
ILI,2023-11-26,490.0,525.0,482.1,522.0,7.19 %,117199.0,59883524.2
ILI,2023-11-27,515.0,532.0,508.2,518.0,-0.77 %,66185.0,34181779.3
ILI,2023-11-28,510.0,524.1,509.0,518.0,0.00 %,58658.0,30291956.5
ILI,2023-11-29,518.0,520.0,500.0,503.7,-2.76 %,51413.0,26102720.2
ILI,2023-11-30,493.7,509.0,493.7,497.1,-1.31 %,53957.0,26888359.7
ILI,2023-12-03,497.0,500.0,491.0,499.0,0.38 %,25353.0,12539378.8
ILI,2023-12-04,500.0,515.0,500.0,507.0,1.60 %,45529.0,23177932.0
ILI,2023-12-05,517.1,520.0,503.0,509.9,0.57 %,61770.0,31568578.4
ILI,2023-12-06,509.0,523.0,503.0,518.0,1.59 %,103901.0,53770226.3
ILI,2023-12-07,507.7,525.0,506.7,517.2,-0.15 %,76850.0,39743886.0
ILI,2023-12-10,527.5,549.0,527.5,546.0,5.57 %,19162.0,10436308.8
ILI,2023-12-11,556.0,556.0,525.0,536.0,-1.83 %,183632.0,98898157.9
ILI,2023-12-12,531.0,562.0,531.0,550.0,2.61 %,148771.0,82285102.2
ILI,2023-12-13,550.0,561.9,534.4,540.1,-1.80 %,118829.0,65070126.4
ILI,2023-12-14,550.9,563.0,541.0,556.0,2.94 %,140009.0,77584312.6
ILI,2023-12-17,544.9,567.0,535.0,565.1,1.64 %,155096.0,86321618.5
ILI,2023-12-18,565.1,577.0,558.0,565.0,-0.02 %,98920.0,56297686.4
ILI,2023-12-19,570.0,596.0,560.5,588.0,4.07 %,143050.0,82139691.0
ILI,2023-12-20,589.0,599.1,579.7,586.6,-0.24 %,121663.0,71348863.5
ILI,2023-12-21,585.0,587.0,566.1,566.6,-3.41 %,107474.0,61797385.6
ILI,2023-12-24,566.0,620.0,564.0,590.0,4.13 %,319125.0,190372800.2
ILI,2023-12-27,590.0,615.0,590.0,604.0,2.37 %,196527.0,118732597.4
ILI,2023-12-28,604.0,620.0,604.0,607.0,0.50 %,153229.0,93807451.1
ILI,2024-01-01,607.0,613.9,585.0,588.2,-3.10 %,150265.0,89719168.6
ILI,2024-01-02,581.0,587.0,565.0,566.0,-3.77 %,153668.0,87959255.5
ILI,2024-01-03,560.0,570.0,542.0,568.0,0.35 %,282817.0,157017871.1
ILI,2024-01-04,579.0,579.0,552.3,554.0,-2.46 %,164307.0,92101697.6
ILI,2024-01-07,547.0,547.1,532.0,532.0,-3.97 %,130445.0,70089189.1
ILI,2024-01-08,540.0,558.3,537.1,557.1,4.72 %,89074.0,48577079.0
ILI,2024-01-09,565.0,573.2,557.5,563.0,1.06 %,100388.0,56680659.4
ILI,2024-01-10,574.2,586.0,557.2,560.0,-0.53 %,86517.0,49118654.8
ILI,2024-01-11,570.0,570.0,555.0,557.0,-0.54 %,69570.0,39008023.2
ILI,2024-01-14,565.0,568.0,554.0,555.0,-0.36 %,58040.0,32361752.9
ILI,2024-01-16,566.0,569.0,555.1,565.0,1.80 %,96751.0,54488018.7
ILI,2024-01-17,563.0,575.0,559.0,559.1,-1.04 %,120777.0,68613842.3
ILI,2024-01-18,554.1,566.0,548.0,550.1,-1.61 %,90651.0,50221551.9
ILI,2024-01-21,550.0,561.0,542.6,543.1,-1.27 %,68293.0,37593448.8
ILI,2024-01-22,543.1,568.0,541.0,553.0,1.82 %,84199.0,46631967.1
ILI,2024-01-23,554.0,559.0,544.0,545.0,-1.45 %,44133.0,24259808.0
ILI,2024-01-24,546.0,555.0,541.3,542.0,-0.55 %,31488.0,17223783.1
ILI,2024-01-25,540.1,547.0,535.0,535.0,-1.29 %,45778.0,24702915.6
ILI,2024-01-28,545.7,555.0,535.4,540.1,0.95 %,70522.0,38193971.3
ILI,2024-01-29,550.9,561.0,547.2,552.0,2.20 %,54072.0,29791622.4
ILI,2024-01-30,555.0,559.9,549.0,554.0,0.36 %,52697.0,29268704.5
ILI,2024-01-31,554.0,559.9,543.0,547.0,-1.26 %,52423.0,28751698.0
