Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turn Over
KBL,2012-01-01,213.0,217.0,217.0,217.0,1.88 %,99.0,21483.0
KBL,2012-01-02,217.0,224.0,219.0,224.0,3.23 %,187.0,41608.0
KBL,2012-01-03,224.0,233.0,216.0,220.0,-1.79 %,1602.0,359495.0
KBL,2012-01-04,220.0,222.0,218.0,222.0,0.91 %,100.0,21840.0
KBL,2012-01-05,222.0,218.0,210.0,211.0,-4.95 %,2247.0,476176.0
KBL,2012-01-08,211.0,219.0,205.0,215.0,1.90 %,3488.0,742287.0
KBL,2012-01-09,215.0,223.0,216.0,222.0,3.26 %,952.0,207734.0
KBL,2012-01-10,222.0,225.0,212.0,213.0,-4.05 %,871.0,188653.0
KBL,2012-01-11,213.0,218.0,212.0,212.0,-0.47 %,1832.0,390619.0
KBL,2012-01-12,212.0,228.0,215.0,215.0,1.42 %,1043.0,225342.0
KBL,2012-01-17,215.0,211.0,200.0,200.0,-6.98 %,510.0,103800.0
KBL,2012-01-18,200.0,204.0,198.0,204.0,2.00 %,400.0,80200.0
KBL,2012-01-22,204.0,201.0,200.0,200.0,-1.96 %,240.0,48048.0
KBL,2012-01-23,200.0,199.0,195.0,199.0,-0.50 %,610.0,120030.0
KBL,2012-01-25,199.0,202.0,202.0,202.0,1.51 %,49.0,9898.0
KBL,2012-01-26,202.0,202.0,195.0,196.0,-2.97 %,466.0,91213.0
KBL,2012-01-29,196.0,199.0,198.0,199.0,1.53 %,651.0,128956.0
KBL,2012-01-31,199.0,200.0,195.0,195.0,-2.01 %,228.0,44964.0
KBL,2012-02-01,195.0,196.0,193.0,195.0,0.00 %,1409.0,273185.0
KBL,2012-02-02,195.0,195.0,180.0,184.0,-5.64 %,6590.0,1215748.0
KBL,2012-02-05,184.0,185.0,183.0,185.0,0.54 %,1647.0,303445.0
KBL,2012-02-06,185.0,184.0,181.0,183.0,-1.08 %,1995.0,363516.0
KBL,2012-02-07,183.0,184.0,180.0,184.0,0.55 %,1172.0,212804.0
KBL,2012-02-08,184.0,192.0,186.0,190.0,3.26 %,745.0,140362.0
KBL,2012-02-09,190.0,196.0,193.0,195.0,2.63 %,944.0,184214.0
KBL,2012-02-12,195.0,197.0,189.0,195.0,0.00 %,1961.0,379535.0
KBL,2012-02-13,195.0,196.0,192.0,194.0,-0.51 %,542.0,105289.0
KBL,2012-02-14,194.0,195.0,193.0,195.0,0.52 %,627.0,122057.0
KBL,2012-02-15,195.0,192.0,189.0,189.0,-3.08 %,146.0,27645.0
KBL,2012-02-16,189.0,187.0,185.0,186.0,-1.59 %,366.0,68072.0
KBL,2012-02-21,186.0,185.0,185.0,185.0,-0.54 %,47.0,8695.0
KBL,2012-02-23,185.0,188.0,185.0,185.0,0.00 %,287.0,53188.0
KBL,2012-02-26,185.0,185.0,184.0,185.0,0.00 %,1046.0,193012.0
KBL,2012-02-28,185.0,193.0,185.0,187.0,1.08 %,605.0,114021.0
KBL,2012-02-29,187.0,188.0,185.0,186.0,-0.53 %,1119.0,208167.0
KBL,2012-03-01,186.0,188.0,186.0,186.0,0.00 %,1529.0,285438.0
KBL,2012-03-04,186.0,187.0,186.0,187.0,0.54 %,939.0,175455.0
KBL,2012-03-05,187.0,190.0,190.0,190.0,1.60 %,40.0,7600.0
KBL,2012-03-06,190.0,187.0,185.0,185.0,-2.63 %,360.0,66816.0
KBL,2012-03-11,185.0,184.0,180.0,180.0,-2.70 %,1405.0,253930.0
KBL,2012-03-12,180.0,178.0,172.0,176.0,-2.22 %,1729.0,301579.0
KBL,2012-03-13,176.0,179.0,175.0,178.0,1.14 %,2482.0,436206.0
KBL,2012-03-14,178.0,175.0,170.0,174.0,-2.25 %,1340.0,230596.0
KBL,2012-03-18,174.0,172.0,164.0,168.0,-3.45 %,1289.0,215411.0
KBL,2012-03-19,168.0,174.0,171.0,174.0,3.57 %,548.0,94344.0
KBL,2012-03-20,174.0,171.0,170.0,170.0,-2.30 %,630.0,107190.0
KBL,2012-03-21,170.0,172.0,169.0,169.0,-0.59 %,532.0,90376.0
KBL,2012-03-25,169.0,168.0,163.0,165.0,-2.37 %,2866.0,469805.0
KBL,2012-03-26,165.0,165.0,162.0,165.0,0.00 %,748.0,122256.0
KBL,2012-03-27,165.0,165.0,163.0,163.0,-1.21 %,795.0,129911.0
KBL,2012-03-29,163.0,166.0,166.0,166.0,1.84 %,73.0,12118.0
KBL,2012-04-01,166.0,169.0,165.0,168.0,1.20 %,771.0,128505.0
KBL,2012-04-02,168.0,171.0,169.0,171.0,1.79 %,678.0,114662.0
KBL,2012-04-03,171.0,174.0,170.0,170.0,-0.58 %,417.0,71072.0
KBL,2012-04-04,170.0,172.0,169.0,172.0,1.18 %,209.0,35550.0
KBL,2012-04-05,172.0,172.0,169.0,171.0,-0.58 %,510.0,86930.0
KBL,2012-04-09,171.0,174.0,172.0,172.0,0.58 %,924.0,159298.0
KBL,2012-04-10,172.0,178.0,170.0,175.0,1.74 %,1004.0,174526.0
KBL,2012-04-11,175.0,187.0,176.0,182.0,4.00 %,1156.0,207418.0
KBL,2012-04-12,182.0,194.0,185.0,189.0,3.85 %,4530.0,860111.0
KBL,2012-04-15,189.0,207.0,192.0,207.0,9.52 %,230.0,46670.0
KBL,2012-04-16,207.0,227.0,211.0,227.0,9.66 %,3085.0,698799.0
KBL,2012-04-17,227.0,243.0,217.0,217.0,-4.41 %,5925.0,1363435.0
KBL,2012-04-18,217.0,236.0,205.0,224.0,3.23 %,3687.0,819474.0
KBL,2012-04-19,224.0,236.0,215.0,229.0,2.23 %,3239.0,732212.0
KBL,2012-04-22,229.0,251.0,228.0,251.0,9.61 %,9337.0,2248850.0
KBL,2012-04-24,251.0,256.0,256.0,256.0,1.99 %,174.0,44544.0
KBL,2012-04-25,256.0,261.0,261.0,261.0,1.95 %,15.0,3915.0
KBL,2012-04-26,261.0,287.0,250.0,287.0,9.96 %,25597.0,6864013.0
KBL,2012-04-29,287.0,300.0,262.0,285.0,-0.70 %,14147.0,4056100.0
KBL,2012-04-30,285.0,281.0,271.0,272.0,-4.56 %,4435.0,1219189.0
KBL,2012-05-02,272.0,267.0,257.0,257.0,-5.51 %,147.0,38514.0
KBL,2012-05-03,257.0,267.0,262.0,267.0,3.89 %,170.0,45290.0
KBL,2012-05-07,267.0,282.0,272.0,282.0,5.62 %,6585.0,1795992.0
KBL,2012-05-08,282.0,310.0,287.0,310.0,9.93 %,16326.0,4807140.0
KBL,2012-05-09,310.0,310.0,279.0,292.0,-5.81 %,12468.0,3660188.0
KBL,2012-05-10,292.0,287.0,267.0,281.0,-3.77 %,4928.0,1383223.0
KBL,2012-05-13,281.0,276.0,253.0,254.0,-9.61 %,3537.0,900390.0
KBL,2012-05-14,254.0,249.0,229.0,233.0,-8.27 %,3514.0,812449.0
KBL,2012-05-15,233.0,245.0,237.0,245.0,5.15 %,558.0,134366.0
KBL,2012-05-17,245.0,269.0,249.0,269.0,9.80 %,5270.0,1407212.0
KBL,2012-05-20,269.0,285.0,254.0,271.0,0.74 %,6991.0,1868420.0
KBL,2012-05-21,271.0,283.0,263.0,276.0,1.85 %,4919.0,1352798.0
