Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turn Over
MFIL,2012-11-08,0.0,150.0,150.0,150.0,0.00 %,50.0,7500.0
MFIL,2012-11-20,150.0,153.0,153.0,153.0,2.00 %,50.0,7650.0
MFIL,2012-11-26,153.0,156.0,156.0,156.0,1.96 %,900.0,140400.0
MFIL,2013-01-20,156.0,149.0,147.0,147.0,-5.77 %,20.0,2960.0
MFIL,2013-01-21,147.0,140.0,136.0,136.0,-7.48 %,30.0,4140.0
MFIL,2013-01-22,136.0,130.0,128.0,128.0,-5.88 %,70.0,9000.0
MFIL,2013-01-23,128.0,122.0,120.0,120.0,-6.25 %,320.0,38440.0
MFIL,2013-01-24,120.0,116.0,116.0,116.0,-3.33 %,50.0,5800.0
MFIL,2013-01-27,116.0,114.0,110.0,110.0,-5.17 %,11297.0,1242784.0
MFIL,2013-01-31,110.0,110.0,108.0,110.0,0.00 %,11370.0,1250460.0
MFIL,2013-02-04,110.0,111.0,111.0,111.0,0.91 %,11250.0,1248750.0
MFIL,2013-02-05,111.0,109.0,107.0,107.0,-3.60 %,197.0,21339.0
MFIL,2013-02-13,107.0,109.0,109.0,109.0,1.87 %,11081.0,1207829.0
MFIL,2013-02-14,109.0,110.0,110.0,110.0,0.92 %,11025.0,1212750.0
MFIL,2013-03-19,110.0,110.0,110.0,110.0,0.00 %,7875.0,866250.0
MFIL,2013-03-21,110.0,109.0,109.0,109.0,-0.91 %,246.0,26814.0
MFIL,2013-06-10,109.0,111.0,111.0,111.0,1.83 %,1350.0,149850.0
MFIL,2013-06-11,111.0,112.0,112.0,112.0,0.90 %,1350.0,151200.0
MFIL,2013-06-19,112.0,110.0,110.0,110.0,-1.79 %,37.0,4070.0
MFIL,2013-07-02,110.0,111.0,111.0,111.0,0.91 %,2250.0,249750.0
MFIL,2013-07-22,111.0,112.0,112.0,112.0,0.90 %,2250.0,252000.0
MFIL,2013-07-23,112.0,112.0,112.0,112.0,0.00 %,2250.0,252000.0
MFIL,2013-08-08,112.0,110.0,110.0,110.0,-1.79 %,123.0,13530.0
MFIL,2013-09-04,110.0,112.0,112.0,112.0,1.82 %,235.0,26320.0
MFIL,2013-09-05,112.0,112.0,112.0,112.0,0.00 %,190.0,21280.0
MFIL,2013-09-11,112.0,112.0,110.0,110.0,-1.79 %,5067.0,567370.0
MFIL,2013-09-16,110.0,108.0,108.0,108.0,-1.82 %,250.0,27000.0
MFIL,2013-09-17,108.0,110.0,106.0,110.0,1.85 %,22130.0,2411930.0
MFIL,2013-09-24,110.0,112.0,112.0,112.0,1.82 %,10631.0,1190672.0
MFIL,2013-12-08,112.0,118.0,114.0,118.0,5.36 %,372.0,43016.0
MFIL,2013-12-09,118.0,122.0,120.0,122.0,3.39 %,22476.0,2719596.0
MFIL,2013-12-10,122.0,126.0,124.0,126.0,3.28 %,240.0,30000.0
MFIL,2013-12-11,126.0,128.0,128.0,128.0,1.59 %,123.0,15744.0
MFIL,2014-05-06,128.0,126.0,126.0,126.0,-1.56 %,89538.0,11281788.0
MFIL,2014-05-08,126.0,128.0,128.0,128.0,1.59 %,56.0,7168.0
MFIL,2014-05-11,128.0,132.0,130.0,132.0,3.12 %,6604.0,858710.0
MFIL,2014-05-13,132.0,130.0,128.0,128.0,-3.03 %,12138.0,1561066.0
MFIL,2014-05-18,128.0,134.0,130.0,134.0,4.69 %,12939.0,1713858.0
MFIL,2014-05-19,134.0,132.0,128.0,128.0,-4.48 %,50208.0,6522564.0
MFIL,2014-06-01,128.0,130.0,130.0,130.0,1.56 %,56.0,7280.0
MFIL,2014-06-03,130.0,130.0,130.0,130.0,0.00 %,450.0,58500.0
MFIL,2014-06-18,130.0,128.0,128.0,128.0,-1.54 %,225.0,28800.0
MFIL,2014-06-30,128.0,128.0,128.0,128.0,0.00 %,2250.0,288000.0
MFIL,2014-07-07,128.0,130.0,130.0,130.0,1.56 %,78.0,10140.0
MFIL,2014-07-08,130.0,134.0,132.0,134.0,3.08 %,358.0,47502.0
MFIL,2014-07-22,134.0,132.0,132.0,132.0,-1.49 %,11238.0,1483416.0
MFIL,2014-08-12,132.0,134.0,134.0,134.0,1.52 %,56.0,7504.0
MFIL,2014-08-18,134.0,135.0,135.0,135.0,0.75 %,15.0,2025.0
MFIL,2014-08-24,135.0,135.0,135.0,135.0,0.00 %,112.0,15120.0
MFIL,2014-08-25,135.0,140.0,137.0,140.0,3.70 %,224.0,31136.0
MFIL,2014-09-04,140.0,140.0,140.0,140.0,0.00 %,5624.0,787360.0
MFIL,2014-10-09,140.0,138.0,138.0,138.0,-1.43 %,3864.0,533232.0
MFIL,2014-10-12,138.0,140.0,140.0,140.0,1.45 %,306.0,42840.0
MFIL,2014-10-14,140.0,142.0,140.0,142.0,1.43 %,4500.0,634500.0
