Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turn Over
MLBBL,2014-06-26,0.0,376.0,376.0,376.0,0.00 %,123.0,46248.0
MLBBL,2014-07-03,376.0,386.0,383.0,386.0,2.66 %,49.0,18875.0
MLBBL,2014-07-17,386.0,386.0,386.0,386.0,0.00 %,20.0,7720.0
MLBBL,2014-07-23,386.0,393.0,393.0,393.0,1.81 %,10.0,3930.0
MLBBL,2014-08-06,393.0,400.0,400.0,400.0,1.78 %,10.0,4000.0
MLBBL,2014-08-18,400.0,416.0,408.0,416.0,4.00 %,20.0,8240.0
MLBBL,2014-08-21,416.0,441.0,425.0,441.0,6.01 %,30.0,12990.0
MLBBL,2014-08-24,441.0,457.0,449.0,457.0,3.63 %,20.0,9060.0
MLBBL,2014-08-28,457.0,466.0,466.0,466.0,1.97 %,38.0,17708.0
MLBBL,2014-08-31,466.0,484.0,475.0,484.0,3.86 %,20.0,9590.0
MLBBL,2014-09-07,484.0,508.0,508.0,508.0,4.96 %,10.0,5080.0
MLBBL,2014-09-09,508.0,518.0,518.0,518.0,1.97 %,10.0,5180.0
MLBBL,2014-09-10,518.0,569.0,543.0,569.0,9.85 %,50.0,27930.0
MLBBL,2014-09-11,569.0,597.0,597.0,597.0,4.92 %,10.0,5970.0
MLBBL,2014-09-14,597.0,638.0,626.0,638.0,6.87 %,20.0,12640.0
MLBBL,2014-09-15,638.0,663.0,650.0,663.0,3.92 %,20.0,13130.0
MLBBL,2014-09-16,663.0,729.0,696.0,729.0,9.95 %,40.0,28570.0
MLBBL,2014-09-17,729.0,801.0,743.0,801.0,9.88 %,412.0,321619.0
MLBBL,2014-09-21,881.0,969.0,898.0,969.0,9.99 %,681.0,657775.0
MLBBL,2014-09-22,969.0,1007.0,873.0,873.0,-9.91 %,2189.0,2018420.0
MLBBL,2014-09-23,873.0,856.0,801.0,805.0,-7.79 %,959.0,774875.0
MLBBL,2014-09-24,805.0,821.0,801.0,805.0,0.00 %,262.0,213082.0
MLBBL,2014-09-28,805.0,805.0,777.0,790.0,-1.86 %,288.0,227711.0
MLBBL,2014-09-29,790.0,848.0,792.0,848.0,7.34 %,246.0,197872.0
MLBBL,2014-09-30,848.0,864.0,840.0,845.0,-0.35 %,519.0,437835.0
MLBBL,2014-10-08,845.0,840.0,840.0,840.0,-0.59 %,20.0,16800.0
MLBBL,2014-10-09,840.0,856.0,840.0,845.0,0.60 %,94.0,80045.0
MLBBL,2014-10-12,845.0,877.0,844.0,844.0,-0.12 %,203.0,176750.0
MLBBL,2014-10-13,844.0,860.0,844.0,854.0,1.18 %,266.0,226978.0
MLBBL,2014-10-14,854.0,840.0,824.0,830.0,-2.81 %,130.0,107700.0
MLBBL,2014-10-15,830.0,841.0,820.0,830.0,0.00 %,113.0,94015.0
MLBBL,2014-10-16,830.0,855.0,835.0,851.0,2.53 %,273.0,231780.0
MLBBL,2014-10-19,851.0,860.0,850.0,850.0,-0.12 %,124.0,105710.0
MLBBL,2014-10-20,850.0,850.0,800.0,800.0,-5.88 %,278.0,233921.0
MLBBL,2014-10-21,800.0,816.0,801.0,803.0,0.38 %,208.0,167584.0
MLBBL,2014-10-22,803.0,805.0,800.0,805.0,0.25 %,94.0,75420.0
MLBBL,2014-10-26,805.0,885.0,800.0,885.0,9.94 %,89.0,75809.0
MLBBL,2014-10-27,885.0,918.0,890.0,918.0,3.73 %,123.0,111435.0
MLBBL,2014-10-28,918.0,905.0,888.0,905.0,-1.42 %,264.0,238272.0
MLBBL,2014-10-30,905.0,887.0,830.0,830.0,-8.29 %,188.0,158380.0
MLBBL,2014-11-02,830.0,846.0,829.0,845.0,1.81 %,252.0,210861.0
MLBBL,2014-11-03,845.0,845.0,829.0,829.0,-1.89 %,60.0,50380.0
MLBBL,2014-11-04,829.0,830.0,830.0,830.0,0.12 %,40.0,33200.0
MLBBL,2014-11-05,830.0,830.0,830.0,830.0,0.00 %,10.0,8300.0
MLBBL,2014-11-06,830.0,860.0,830.0,860.0,3.61 %,126.0,106134.0
MLBBL,2014-11-10,860.0,845.0,830.0,830.0,-3.49 %,119.0,99600.0
MLBBL,2014-11-11,830.0,835.0,787.0,791.0,-4.70 %,66.0,53116.0
MLBBL,2014-11-12,791.0,820.0,800.0,820.0,3.67 %,324.0,260800.0
MLBBL,2014-11-13,820.0,825.0,804.0,804.0,-1.95 %,171.0,140110.0
MLBBL,2014-11-16,804.0,820.0,800.0,820.0,1.99 %,93.0,75080.0
MLBBL,2014-11-17,820.0,820.0,805.0,820.0,0.00 %,51.0,41540.0
MLBBL,2014-11-18,820.0,804.0,785.0,800.0,-2.44 %,272.0,214110.0
MLBBL,2014-11-19,800.0,832.0,800.0,828.0,3.50 %,329.0,268956.0
MLBBL,2014-11-20,828.0,860.0,844.0,847.0,2.29 %,637.0,544481.0
MLBBL,2014-11-23,706.0,720.0,706.0,706.0,0.00 %,120.0,85994.0
MLBBL,2014-12-03,706.0,706.0,706.0,706.0,0.00 %,10.0,7060.0
MLBBL,2014-12-08,706.0,710.0,700.0,700.0,-0.85 %,29.0,20400.0
MLBBL,2014-12-09,700.0,700.0,698.0,700.0,0.00 %,113.0,78944.0
MLBBL,2014-12-15,700.0,705.0,705.0,705.0,0.71 %,20.0,14100.0
MLBBL,2014-12-16,705.0,719.0,714.0,714.0,1.28 %,20.0,14330.0
MLBBL,2014-12-17,714.0,718.0,718.0,718.0,0.56 %,10.0,7180.0
MLBBL,2014-12-18,718.0,720.0,720.0,720.0,0.28 %,10.0,7200.0
MLBBL,2014-12-21,720.0,734.0,734.0,734.0,1.94 %,10.0,7340.0
MLBBL,2014-12-22,734.0,777.0,734.0,734.0,0.00 %,972.0,718778.0
MLBBL,2014-12-23,734.0,737.0,720.0,737.0,0.41 %,227.0,164758.0
MLBBL,2014-12-28,737.0,748.0,748.0,748.0,1.49 %,197.0,147356.0
MLBBL,2014-12-29,748.0,805.0,750.0,805.0,7.62 %,1294.0,1005316.0
MLBBL,2014-12-31,805.0,885.0,821.0,885.0,9.94 %,1112.0,953172.0
MLBBL,2015-01-01,885.0,960.0,901.0,960.0,8.47 %,1061.0,993734.0
MLBBL,2015-01-04,960.0,1056.0,978.0,1056.0,10.00 %,686.0,694580.0
MLBBL,2015-01-05,1056.0,1141.0,1057.0,1080.0,2.27 %,593.0,649179.0
MLBBL,2015-01-06,1080.0,1100.0,1060.0,1060.0,-1.85 %,578.0,629593.0
MLBBL,2015-01-07,1060.0,1040.0,1020.0,1020.0,-3.77 %,178.0,184895.0
MLBBL,2015-01-08,1020.0,1060.0,1020.0,1030.0,0.98 %,401.0,415930.0
MLBBL,2015-01-11,1030.0,1040.0,1010.0,1040.0,0.97 %,104.0,106400.0
MLBBL,2015-01-12,1040.0,1020.0,1000.0,1000.0,-3.85 %,20.0,20200.0
MLBBL,2015-01-13,1000.0,990.0,980.0,990.0,-1.00 %,70.0,68870.0
MLBBL,2015-01-14,990.0,971.0,971.0,971.0,-1.92 %,93.0,90303.0
MLBBL,2015-01-18,971.0,974.0,955.0,974.0,0.31 %,20.0,19290.0
MLBBL,2015-01-20,974.0,980.0,980.0,980.0,0.62 %,10.0,9800.0
MLBBL,2015-01-26,980.0,965.0,965.0,965.0,-1.53 %,30.0,28950.0
MLBBL,2015-01-27,965.0,946.0,946.0,946.0,-1.97 %,90.0,85140.0
MLBBL,2015-01-28,946.0,946.0,946.0,946.0,0.00 %,63.0,59598.0
MLBBL,2015-02-02,946.0,960.0,924.0,924.0,-2.33 %,190.0,179340.0
MLBBL,2015-02-03,924.0,933.0,915.0,933.0,0.97 %,95.0,87332.0
MLBBL,2015-02-04,933.0,970.0,951.0,956.0,2.47 %,115.0,109926.0
MLBBL,2015-02-05,956.0,975.0,975.0,975.0,1.99 %,63.0,61425.0
MLBBL,2015-02-09,975.0,975.0,970.0,970.0,-0.51 %,160.0,155400.0
MLBBL,2015-02-10,970.0,1013.0,975.0,1013.0,4.43 %,93.0,91435.0
MLBBL,2015-02-11,1013.0,1018.0,980.0,1018.0,0.49 %,593.0,590730.0
MLBBL,2015-02-12,1018.0,998.0,998.0,998.0,-1.96 %,141.0,140718.0
MLBBL,2015-02-15,998.0,979.0,979.0,979.0,-1.90 %,63.0,61677.0
MLBBL,2015-02-16,979.0,1054.0,998.0,1035.0,5.72 %,758.0,778652.0
MLBBL,2015-02-19,1035.0,1025.0,1021.0,1021.0,-1.35 %,173.0,176953.0
MLBBL,2015-02-24,1021.0,1001.0,981.0,995.0,-2.55 %,80.0,79440.0
MLBBL,2015-02-25,995.0,1014.0,990.0,1000.0,0.50 %,192.0,192920.0
MLBBL,2015-03-01,1000.0,999.0,980.0,999.0,-0.10 %,20.0,19790.0
MLBBL,2015-03-02,999.0,1030.0,1010.0,1016.0,1.70 %,576.0,583238.0
MLBBL,2015-03-04,1016.0,1056.0,1036.0,1056.0,3.94 %,102.0,107512.0
MLBBL,2015-03-09,1056.0,1050.0,1050.0,1050.0,-0.57 %,30.0,31500.0
MLBBL,2015-03-11,1050.0,1055.0,1050.0,1055.0,0.48 %,93.0,97700.0
MLBBL,2015-03-12,1055.0,1050.0,1050.0,1050.0,-0.47 %,97.0,101850.0
MLBBL,2015-03-15,1050.0,1040.0,1040.0,1040.0,-0.95 %,17.0,17680.0
MLBBL,2015-03-16,1040.0,1020.0,1000.0,1000.0,-3.85 %,138.0,139500.0
MLBBL,2015-03-17,1000.0,1000.0,962.0,1000.0,0.00 %,242.0,238332.0
MLBBL,2015-03-18,1000.0,1010.0,1009.0,1010.0,1.00 %,96.0,96924.0
MLBBL,2015-03-19,1010.0,1010.0,996.0,1010.0,0.00 %,75.0,75582.0
MLBBL,2015-03-23,1010.0,991.0,991.0,991.0,-1.88 %,63.0,62433.0
MLBBL,2015-03-25,991.0,972.0,953.0,953.0,-3.83 %,24.0,23100.0
MLBBL,2015-03-26,953.0,972.0,965.0,972.0,1.99 %,24.0,23244.0
MLBBL,2015-03-29,972.0,953.0,953.0,953.0,-1.95 %,12.0,11436.0
MLBBL,2015-03-30,953.0,970.0,970.0,970.0,1.78 %,10.0,9700.0
MLBBL,2015-03-31,970.0,970.0,970.0,970.0,0.00 %,83.0,80510.0
MLBBL,2015-04-02,970.0,951.0,940.0,940.0,-3.09 %,27.0,25512.0
MLBBL,2015-04-05,940.0,930.0,922.0,925.0,-1.60 %,160.0,148340.0
MLBBL,2015-04-07,925.0,961.0,943.0,961.0,3.89 %,22.0,20962.0
MLBBL,2015-04-08,961.0,980.0,961.0,961.0,0.00 %,614.0,599124.0
MLBBL,2015-04-09,961.0,974.0,955.0,974.0,1.35 %,24.0,23148.0
MLBBL,2015-04-16,974.0,975.0,955.0,956.0,-1.85 %,198.0,189897.0
MLBBL,2015-04-19,956.0,937.0,919.0,920.0,-3.77 %,373.0,343472.0
