Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turn Over
NADEP,2018-08-23,597.0,597.0,597.0,597.0,0.00 %,10.0,5970.0
NADEP,2018-08-30,626.0,650.0,626.0,650.0,8.88 %,30.0,19140.0
NADEP,2018-09-03,663.0,663.0,663.0,663.0,2.00 %,10.0,6630.0
NADEP,2018-09-04,676.0,689.0,676.0,689.0,3.92 %,20.0,13650.0
NADEP,2018-09-09,702.0,702.0,702.0,702.0,1.89 %,10.0,7020.0
NADEP,2018-09-13,716.0,716.0,716.0,716.0,1.99 %,10.0,7160.0
NADEP,2018-09-16,730.0,730.0,730.0,730.0,1.96 %,10.0,7300.0
NADEP,2018-09-18,766.0,766.0,766.0,766.0,4.93 %,10.0,7660.0
NADEP,2018-09-25,781.0,796.0,781.0,796.0,3.92 %,20.0,15770.0
NADEP,2018-09-27,811.0,827.0,811.0,827.0,3.89 %,20.0,16380.0
NADEP,2018-09-30,843.0,843.0,843.0,843.0,1.93 %,10.0,8430.0
NADEP,2018-10-01,859.0,927.0,859.0,927.0,9.96 %,60.0,53920.0
NADEP,2018-10-02,945.0,1019.0,945.0,1019.0,9.92 %,110.0,108760.0
NADEP,2018-10-03,1039.0,1120.0,1039.0,1120.0,9.91 %,270.0,300390.0
NADEP,2018-10-04,1142.0,1232.0,1142.0,1232.0,10.00 %,120.0,145140.0
NADEP,2018-10-07,1256.0,1355.0,1256.0,1355.0,9.98 %,380.0,512450.0
NADEP,2018-10-08,1382.0,1490.0,1382.0,1490.0,9.96 %,2640.0,3928680.0
NADEP,2018-10-09,1519.0,1639.0,1519.0,1542.0,3.49 %,24470.0,38531000.0
NADEP,2018-10-10,1540.0,1540.0,1490.0,1493.0,-3.18 %,5250.0,7861440.0
NADEP,2018-10-11,1464.0,1486.0,1440.0,1483.0,-0.67 %,3040.0,4489530.0
NADEP,2018-10-14,1490.0,1550.0,1490.0,1550.0,4.52 %,3020.0,4569170.0
NADEP,2018-10-15,1552.0,1590.0,1520.0,1555.0,0.32 %,3630.0,5691200.0
NADEP,2018-10-21,1525.0,1540.0,1525.0,1532.0,-1.48 %,1160.0,1779280.0
NADEP,2018-10-22,1530.0,1550.0,1529.0,1533.0,0.20 %,1480.0,2271480.0
NADEP,2018-10-23,1530.0,1533.0,1491.0,1496.0,-2.54 %,3890.0,5852180.0
NADEP,2018-10-24,1496.0,1510.0,1480.0,1487.0,-0.60 %,2630.0,3923080.0
NADEP,2018-10-25,1468.0,1510.0,1468.0,1485.0,-0.13 %,1870.0,2783300.0
NADEP,2018-10-28,1490.0,1500.0,1460.0,1460.0,-1.68 %,2710.0,3974170.0
NADEP,2018-10-29,1431.0,1460.0,1423.0,1450.0,-0.68 %,1290.0,1865240.0
NADEP,2018-10-30,1450.0,1465.0,1426.0,1445.0,-0.34 %,1600.0,2314920.0
NADEP,2018-10-31,1427.0,1445.0,1427.0,1436.0,-0.62 %,770.0,1106550.0
NADEP,2018-11-01,1408.0,1448.0,1390.0,1420.0,-1.11 %,1110.0,1574830.0
NADEP,2018-11-04,1392.0,1430.0,1392.0,1409.0,-0.77 %,1500.0,2117420.0
NADEP,2018-11-05,1401.0,1509.0,1400.0,1480.0,5.04 %,1120.0,1605430.0
NADEP,2018-11-14,1407.0,1415.0,1381.0,1405.0,-0.14 %,1080.0,1513950.0
NADEP,2018-11-15,1405.0,1416.0,1402.0,1402.0,-0.21 %,1380.0,14020.0
NADEP,2018-11-18,1405.0,1433.0,1390.0,1392.0,-0.93 %,1430.0,13920.0
NADEP,2018-11-19,1392.0,1395.0,1365.0,1370.0,-1.58 %,1060.0,13700.0
