Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turn Over
NIL,2012-08-28,118.0,107.0,100.0,100.0,-15.25 %,620.0,64290.0
NIL,2012-08-29,100.0,110.0,102.0,110.0,10.00 %,896.0,98220.0
NIL,2012-08-30,110.0,121.0,112.0,121.0,10.00 %,468.0,54673.0
NIL,2012-09-02,121.0,127.0,118.0,118.0,-2.48 %,1651.0,200434.0
NIL,2012-09-05,118.0,116.0,114.0,114.0,-3.39 %,46.0,5290.0
NIL,2012-09-06,114.0,112.0,106.0,108.0,-5.26 %,946.0,103666.0
NIL,2012-09-09,108.0,110.0,110.0,110.0,1.85 %,167.0,18370.0
NIL,2012-09-11,110.0,110.0,106.0,110.0,0.00 %,436.0,46649.0
NIL,2012-09-13,110.0,112.0,112.0,112.0,1.82 %,46.0,5152.0
NIL,2012-09-16,112.0,114.0,110.0,114.0,1.79 %,870.0,97498.0
NIL,2012-09-17,114.0,116.0,114.0,116.0,1.75 %,740.0,85081.0
NIL,2012-09-18,116.0,120.0,118.0,118.0,1.72 %,570.0,67306.0
NIL,2012-09-20,118.0,116.0,114.0,116.0,-1.69 %,136.0,15688.0
NIL,2012-10-02,116.0,117.0,114.0,114.0,-1.72 %,10758.0,1257833.0
NIL,2012-10-03,114.0,112.0,112.0,112.0,-1.75 %,23.0,2576.0
NIL,2012-10-04,112.0,110.0,110.0,110.0,-1.79 %,254.0,27940.0
NIL,2012-10-07,110.0,120.0,112.0,118.0,7.27 %,622.0,73560.0
NIL,2012-10-08,118.0,119.0,116.0,119.0,0.85 %,531.0,62489.0
NIL,2012-10-09,119.0,129.0,121.0,128.0,7.56 %,1479.0,183013.0
NIL,2012-10-10,128.0,130.0,130.0,130.0,1.56 %,23.0,2990.0
NIL,2012-10-15,130.0,128.0,124.0,124.0,-4.62 %,185.0,23312.0
NIL,2012-10-30,124.0,122.0,122.0,122.0,-1.61 %,100.0,12200.0
NIL,2012-10-31,122.0,120.0,120.0,120.0,-1.64 %,39.0,4680.0
NIL,2012-11-06,120.0,118.0,118.0,118.0,-1.67 %,24.0,2832.0
NIL,2012-11-20,118.0,116.0,116.0,116.0,-1.69 %,13.0,1508.0
NIL,2012-11-27,116.0,114.0,114.0,114.0,-1.72 %,100.0,11400.0
