Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turn Over
NUBL,2012-02-01,196.0,181.0,181.0,181.0,-7.65 %,89.0,16109.0
NUBL,2012-03-04,181.0,184.0,184.0,184.0,1.66 %,20.0,3680.0
NUBL,2012-04-03,184.0,181.0,181.0,181.0,-1.63 %,370.0,66970.0
NUBL,2012-04-12,181.0,178.0,178.0,178.0,-1.66 %,20.0,3560.0
NUBL,2012-04-16,178.0,178.0,178.0,178.0,0.00 %,30.0,5340.0
NUBL,2012-04-19,178.0,181.0,181.0,181.0,1.69 %,363.0,65703.0
NUBL,2012-04-29,181.0,181.0,181.0,181.0,0.00 %,345.0,62445.0
NUBL,2012-05-09,181.0,184.0,184.0,184.0,1.66 %,58.0,10672.0
NUBL,2012-05-24,184.0,181.0,178.0,178.0,-3.26 %,621.0,111861.0
NUBL,2012-06-06,178.0,175.0,175.0,175.0,-1.69 %,47.0,8225.0
NUBL,2012-06-14,175.0,178.0,169.0,169.0,-3.43 %,579.0,99651.0
NUBL,2012-06-17,169.0,169.0,169.0,169.0,0.00 %,29.0,4901.0
NUBL,2012-06-19,169.0,167.0,167.0,167.0,-1.18 %,13.0,2171.0
NUBL,2012-07-02,167.0,164.0,164.0,164.0,-1.80 %,21.0,3444.0
NUBL,2012-07-17,164.0,161.0,158.0,161.0,-1.83 %,114.0,18186.0
NUBL,2012-07-22,161.0,160.0,160.0,160.0,-0.62 %,212.0,33920.0
NUBL,2012-07-26,160.0,160.0,160.0,160.0,0.00 %,83.0,13280.0
NUBL,2012-07-30,160.0,157.0,157.0,157.0,-1.88 %,14.0,2198.0
NUBL,2012-08-12,157.0,154.0,154.0,154.0,-1.91 %,392.0,60368.0
NUBL,2012-08-26,154.0,154.0,151.0,151.0,-1.95 %,642.0,97263.0
NUBL,2012-08-27,151.0,152.0,152.0,152.0,0.66 %,207.0,31464.0
NUBL,2012-08-28,152.0,166.0,155.0,166.0,9.21 %,537.0,86798.0
NUBL,2012-08-29,166.0,169.0,169.0,169.0,1.81 %,50.0,8450.0
NUBL,2012-08-30,169.0,172.0,172.0,172.0,1.78 %,40.0,6880.0
NUBL,2012-09-02,172.0,181.0,175.0,181.0,5.23 %,451.0,79168.0
NUBL,2012-09-03,181.0,190.0,184.0,190.0,4.97 %,480.0,89970.0
NUBL,2012-09-04,190.0,193.0,193.0,193.0,1.58 %,29.0,5597.0
NUBL,2012-10-10,193.0,190.0,190.0,190.0,-1.55 %,199.0,37810.0
NUBL,2012-10-11,190.0,187.0,181.0,181.0,-4.74 %,743.0,135029.0
NUBL,2012-10-15,181.0,178.0,178.0,178.0,-1.66 %,207.0,36846.0
NUBL,2012-10-18,178.0,176.0,176.0,176.0,-1.12 %,31.0,5456.0
NUBL,2012-11-06,176.0,178.0,175.0,175.0,-0.57 %,189.0,33549.0
NUBL,2012-11-11,175.0,175.0,175.0,175.0,0.00 %,107.0,18725.0
NUBL,2012-11-26,175.0,178.0,178.0,178.0,1.71 %,963.0,171414.0
NUBL,2012-11-28,178.0,176.0,176.0,176.0,-1.12 %,31.0,5456.0
