Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turn Over
PRIN,2015-06-04,380.0,373.0,373.0,373.0,-1.84 %,10.0,3730.0
PRIN,2015-06-07,373.0,382.0,373.0,374.0,0.27 %,3130.0,1170890.0
PRIN,2015-06-08,374.0,370.0,359.0,360.0,-3.74 %,794.0,287407.0
PRIN,2015-06-09,360.0,372.0,365.0,372.0,3.33 %,548.0,201406.0
PRIN,2015-06-11,372.0,366.0,366.0,366.0,-1.61 %,10.0,3660.0
PRIN,2015-06-23,359.0,359.0,352.0,352.0,-3.83 %,412.0,146564.0
PRIN,2015-06-24,359.0,359.0,345.0,345.0,-1.99 %,600.0,209814.0
PRIN,2015-06-29,345.0,379.0,345.0,379.0,9.86 %,2733.0,1009840.0
PRIN,2015-06-30,386.0,405.0,385.0,405.0,6.86 %,5305.0,2093580.0
PRIN,2015-07-01,410.0,421.0,405.0,408.0,0.74 %,3482.0,1444820.0
PRIN,2015-07-02,407.0,407.0,379.0,379.0,-7.11 %,634.0,249184.0
PRIN,2015-07-06,378.0,381.0,378.0,381.0,0.53 %,732.0,277687.0
PRIN,2015-07-07,375.0,375.0,375.0,375.0,-1.57 %,155.0,58125.0
PRIN,2015-07-08,368.0,368.0,368.0,368.0,-1.87 %,61.0,22448.0
PRIN,2015-07-09,375.0,375.0,375.0,375.0,1.90 %,200.0,75000.0
PRIN,2015-07-12,370.0,375.0,368.0,368.0,-1.87 %,530.0,195850.0
PRIN,2015-07-13,361.0,367.0,355.0,367.0,-0.27 %,2385.0,850662.0
PRIN,2015-07-14,360.0,360.0,360.0,360.0,-1.91 %,310.0,111600.0
PRIN,2015-07-15,355.0,365.0,350.0,365.0,1.39 %,4147.0,1468840.0
PRIN,2015-07-16,365.0,365.0,350.0,350.0,-4.11 %,3017.0,1063434.0
PRIN,2015-07-22,350.0,350.0,339.0,345.0,-1.43 %,990.0,338039.0
PRIN,2015-07-23,345.0,346.0,345.0,345.0,0.00 %,385.0,132925.0
PRIN,2015-07-26,345.0,358.0,351.0,358.0,3.77 %,23.0,8143.0
PRIN,2015-07-27,358.0,365.0,360.0,360.0,0.56 %,257.0,92830.0
PRIN,2015-07-28,360.0,355.0,345.0,345.0,-4.17 %,1313.0,453205.0
PRIN,2015-07-29,345.0,348.0,348.0,348.0,0.87 %,200.0,69600.0
PRIN,2015-07-30,348.0,354.0,345.0,354.0,1.72 %,583.0,203968.0
PRIN,2015-08-03,354.0,347.0,335.0,335.0,-5.37 %,1003.0,340241.0
PRIN,2015-08-04,335.0,340.0,340.0,340.0,1.49 %,300.0,102000.0
PRIN,2015-08-05,340.0,339.0,334.0,339.0,-0.29 %,1094.0,368146.0
PRIN,2015-08-06,339.0,345.0,340.0,340.0,0.29 %,547.0,186890.0
PRIN,2015-08-09,340.0,340.0,337.0,337.0,-0.88 %,1795.0,605074.0
PRIN,2015-08-12,340.0,347.0,340.0,347.0,2.97 %,853.0,294489.0
PRIN,2015-08-13,353.0,353.0,353.0,353.0,1.73 %,31.0,10943.0
PRIN,2015-08-16,360.0,372.0,360.0,372.0,5.38 %,727.0,269075.0
PRIN,2015-08-17,379.0,409.0,379.0,409.0,9.95 %,6482.0,2558220.0
PRIN,2015-08-18,415.0,432.0,410.0,432.0,5.62 %,12961.0,5406400.0
PRIN,2015-08-19,435.0,475.0,435.0,475.0,9.95 %,7292.0,3429430.0
PRIN,2015-08-20,484.0,493.0,480.0,480.0,1.05 %,3177.0,1541990.0
PRIN,2015-08-23,471.0,484.0,470.0,484.0,0.83 %,3301.0,1561020.0
PRIN,2015-08-24,493.0,502.0,480.0,480.0,-0.83 %,4238.0,2083970.0
PRIN,2015-08-25,471.0,475.0,461.0,470.0,-2.08 %,1073.0,501421.0
PRIN,2015-08-26,475.0,482.0,470.0,478.0,1.70 %,4575.0,2157960.0
PRIN,2015-08-27,485.0,500.0,485.0,496.0,3.77 %,12853.0,6364990.0
PRIN,2015-08-31,491.0,500.0,485.0,500.0,0.81 %,5463.0,2716350.0
PRIN,2015-09-01,500.0,490.0,476.0,476.0,-4.80 %,689.0,333692.0
PRIN,2015-09-02,467.0,467.0,460.0,460.0,-3.36 %,840.0,387027.0
PRIN,2015-09-03,451.0,451.0,451.0,451.0,-1.96 %,100.0,45100.0
PRIN,2015-09-06,460.0,460.0,451.0,452.0,0.22 %,868.0,393077.0
PRIN,2015-09-07,444.0,444.0,443.0,443.0,-1.99 %,1139.0,504716.0
PRIN,2015-09-08,447.0,447.0,446.0,446.0,0.68 %,893.0,399016.0
PRIN,2015-09-09,454.0,456.0,446.0,446.0,0.00 %,2315.0,1049450.0
PRIN,2015-09-10,446.0,446.0,437.0,445.0,-0.22 %,5503.0,2409790.0
PRIN,2015-09-13,440.0,442.0,440.0,442.0,-0.67 %,605.0,266252.0
PRIN,2015-09-14,440.0,440.0,439.0,439.0,-0.68 %,3300.0,1451700.0
PRIN,2015-09-16,440.0,447.0,432.0,447.0,1.82 %,2075.0,906821.0
PRIN,2015-09-17,455.0,455.0,445.0,445.0,-0.45 %,1720.0,770100.0
PRIN,2015-09-22,441.0,441.0,433.0,433.0,-2.70 %,537.0,234777.0
PRIN,2015-09-23,425.0,425.0,420.0,420.0,-3.00 %,656.0,278020.0
PRIN,2015-09-24,422.0,425.0,422.0,425.0,1.19 %,210.0,88920.0
PRIN,2015-09-28,420.0,420.0,420.0,420.0,-1.18 %,454.0,190680.0
PRIN,2015-09-30,420.0,420.0,420.0,420.0,0.00 %,2493.0,1047060.0
