Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turn Over
SBL,2012-01-01,204.0,171.0,171.0,171.0,-16.18 %,532.0,91031.0
SBL,2012-01-02,213.0,213.0,213.0,213.0,0.00 %,419.0,87940.0
SBL,2012-01-03,213.0,228.0,217.0,225.0,5.63 %,2840.0,634765.0
SBL,2012-01-04,225.0,221.0,221.0,221.0,-1.78 %,200.0,44200.0
SBL,2012-01-05,221.0,223.0,219.0,219.0,-0.90 %,158.0,35034.0
SBL,2012-01-08,219.0,223.0,219.0,223.0,1.83 %,805.0,177513.0
SBL,2012-01-09,223.0,222.0,221.0,222.0,-0.45 %,832.0,183904.0
SBL,2012-01-11,222.0,225.0,215.0,216.0,-2.70 %,878.0,191505.0
SBL,2012-01-12,216.0,232.0,220.0,232.0,7.41 %,80.0,18080.0
SBL,2012-01-23,232.0,228.0,210.0,213.0,-8.19 %,3035.0,654899.0
SBL,2012-01-25,213.0,213.0,209.0,211.0,-0.94 %,486.0,102586.0
SBL,2012-01-26,211.0,214.0,209.0,214.0,1.42 %,1143.0,240091.0
SBL,2012-01-29,214.0,218.0,214.0,214.0,0.00 %,291.0,62384.0
SBL,2012-01-31,214.0,217.0,217.0,217.0,1.40 %,32.0,6944.0
SBL,2012-02-01,217.0,214.0,214.0,214.0,-1.38 %,64.0,13696.0
SBL,2012-02-02,214.0,216.0,211.0,212.0,-0.93 %,1523.0,322819.0
SBL,2012-02-05,212.0,212.0,206.0,207.0,-2.36 %,1993.0,413353.0
SBL,2012-02-06,207.0,209.0,205.0,207.0,0.00 %,4406.0,907374.0
SBL,2012-02-07,207.0,207.0,204.0,205.0,-0.97 %,2102.0,429283.0
SBL,2012-02-08,205.0,206.0,202.0,203.0,-0.98 %,1794.0,364497.0
SBL,2012-02-09,203.0,207.0,201.0,203.0,0.00 %,855.0,173677.0
SBL,2012-02-12,203.0,206.0,203.0,206.0,1.48 %,330.0,67224.0
SBL,2012-02-13,206.0,209.0,205.0,207.0,0.49 %,1436.0,295191.0
SBL,2012-02-14,207.0,211.0,210.0,210.0,1.45 %,116.0,24376.0
SBL,2012-02-15,210.0,207.0,203.0,205.0,-2.38 %,1233.0,251665.0
SBL,2012-02-16,205.0,207.0,200.0,206.0,0.49 %,1228.0,248947.0
SBL,2012-02-23,206.0,203.0,203.0,203.0,-1.46 %,645.0,130935.0
SBL,2012-02-26,203.0,207.0,203.0,203.0,0.00 %,391.0,79529.0
SBL,2012-02-27,203.0,205.0,201.0,205.0,0.99 %,1120.0,226512.0
SBL,2012-02-28,205.0,209.0,205.0,209.0,1.95 %,760.0,158269.0
SBL,2012-02-29,209.0,211.0,210.0,211.0,0.96 %,1209.0,253924.0
SBL,2012-03-01,211.0,211.0,211.0,211.0,0.00 %,70.0,14770.0
SBL,2012-03-04,211.0,210.0,206.0,210.0,-0.47 %,1091.0,226444.0
SBL,2012-03-05,210.0,210.0,210.0,210.0,0.00 %,100.0,21000.0
