Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turn Over
SICL,2012-01-02,244.0,240.0,234.0,236.0,-3.28 %,140.0,33160.0
SICL,2012-01-03,236.0,240.0,240.0,240.0,1.69 %,40.0,9600.0
SICL,2012-01-04,240.0,244.0,244.0,244.0,1.67 %,20.0,4880.0
SICL,2012-01-05,244.0,246.0,238.0,238.0,-2.46 %,3580.0,862000.0
SICL,2012-01-08,238.0,244.0,240.0,240.0,0.84 %,310.0,74480.0
SICL,2012-01-09,240.0,238.0,238.0,238.0,-0.83 %,100.0,23800.0
SICL,2012-01-10,238.0,246.0,242.0,246.0,3.36 %,40.0,9760.0
SICL,2012-01-11,246.0,242.0,242.0,242.0,-1.63 %,40.0,9680.0
SICL,2012-01-17,242.0,245.0,226.0,245.0,1.24 %,190.0,44100.0
SICL,2012-01-29,245.0,241.0,221.0,241.0,-1.63 %,210.0,47890.0
SICL,2012-02-02,241.0,257.0,245.0,257.0,6.64 %,70.0,17610.0
SICL,2012-02-09,257.0,252.0,247.0,247.0,-3.89 %,2220.0,548390.0
SICL,2012-02-21,247.0,243.0,223.0,235.0,-4.86 %,4180.0,949740.0
SICL,2012-02-23,235.0,242.0,223.0,242.0,2.98 %,4210.0,955740.0
SICL,2012-02-26,242.0,246.0,222.0,238.0,-1.65 %,4190.0,948460.0
SICL,2012-02-27,238.0,234.0,234.0,234.0,-1.68 %,4000.0,936000.0
SICL,2012-02-28,234.0,230.0,230.0,230.0,-1.71 %,4000.0,920000.0
SICL,2012-02-29,230.0,243.0,218.0,243.0,5.65 %,4310.0,957820.0
SICL,2012-03-01,243.0,246.0,235.0,246.0,1.23 %,3040.0,726630.0
SICL,2012-03-04,246.0,242.0,233.0,241.0,-2.03 %,3100.0,734910.0
SICL,2012-03-11,241.0,241.0,241.0,241.0,0.00 %,50.0,12050.0
SICL,2012-03-19,241.0,237.0,233.0,233.0,-3.32 %,20.0,4700.0
SICL,2012-03-20,233.0,245.0,237.0,245.0,5.15 %,30.0,7230.0
SICL,2012-03-29,245.0,249.0,249.0,249.0,1.63 %,10.0,2490.0
SICL,2012-04-02,249.0,245.0,229.0,241.0,-3.21 %,510.0,120870.0
SICL,2012-04-10,241.0,249.0,245.0,249.0,3.32 %,30.0,7390.0
SICL,2012-04-18,249.0,258.0,253.0,253.0,1.61 %,30.0,7640.0
SICL,2012-04-19,253.0,258.0,228.0,228.0,-9.88 %,80.0,19390.0
SICL,2012-04-22,228.0,248.0,224.0,248.0,8.77 %,560.0,126480.0
SICL,2012-04-24,248.0,252.0,252.0,252.0,1.61 %,10.0,2520.0
SICL,2012-04-26,252.0,258.0,253.0,258.0,2.38 %,110.0,27930.0
SICL,2012-04-30,258.0,258.0,253.0,258.0,0.00 %,60.0,15230.0
SICL,2012-05-09,258.0,268.0,258.0,268.0,3.88 %,120.0,31110.0
SICL,2012-05-10,268.0,263.0,263.0,263.0,-1.87 %,30.0,7890.0
SICL,2012-05-13,263.0,258.0,258.0,258.0,-1.90 %,100.0,25800.0
SICL,2012-05-15,258.0,253.0,253.0,253.0,-1.94 %,30.0,7590.0
SICL,2012-05-20,253.0,258.0,255.0,255.0,0.79 %,460.0,118080.0
SICL,2012-05-22,255.0,250.0,237.0,245.0,-3.92 %,550.0,132460.0
SICL,2012-05-24,245.0,253.0,244.0,244.0,-0.41 %,220.0,54220.0
SICL,2012-05-27,244.0,248.0,248.0,248.0,1.64 %,10.0,2480.0
SICL,2012-05-29,248.0,252.0,252.0,252.0,1.61 %,10.0,2520.0
SICL,2012-05-30,252.0,261.0,257.0,261.0,3.57 %,20.0,5180.0
SICL,2012-06-04,261.0,256.0,242.0,242.0,-7.28 %,450.0,112600.0
SICL,2012-06-05,242.0,260.0,238.0,260.0,7.44 %,2130.0,508540.0
SICL,2012-06-06,260.0,255.0,250.0,250.0,-3.85 %,60.0,15150.0
SICL,2012-06-07,250.0,253.0,237.0,253.0,1.20 %,1570.0,374730.0
SICL,2012-06-10,253.0,252.0,244.0,252.0,-0.40 %,480.0,117640.0
SICL,2012-06-11,252.0,251.0,247.0,251.0,-0.40 %,410.0,101310.0
SICL,2012-06-12,251.0,246.0,246.0,246.0,-1.99 %,100.0,24600.0
SICL,2012-06-13,246.0,250.0,245.0,249.0,1.22 %,260.0,63970.0
SICL,2012-06-14,249.0,248.0,241.0,241.0,-3.21 %,590.0,142950.0
SICL,2012-06-17,241.0,237.0,237.0,237.0,-1.66 %,10.0,2370.0
SICL,2012-06-18,237.0,253.0,233.0,253.0,6.75 %,830.0,195110.0
SICL,2012-06-19,253.0,248.0,240.0,240.0,-5.14 %,300.0,73200.0
SICL,2012-06-20,240.0,244.0,244.0,244.0,1.67 %,10.0,2440.0
SICL,2012-06-21,244.0,248.0,240.0,248.0,1.64 %,310.0,74960.0
SICL,2012-06-25,248.0,257.0,252.0,257.0,3.63 %,20.0,5090.0
SICL,2012-06-26,257.0,252.0,252.0,252.0,-1.95 %,50.0,12600.0
SICL,2012-06-27,252.0,257.0,257.0,257.0,1.98 %,10.0,2570.0
SICL,2012-06-28,257.0,256.0,247.0,256.0,-0.39 %,120.0,30020.0
SICL,2012-07-01,256.0,251.0,251.0,251.0,-1.95 %,30.0,7530.0
SICL,2012-07-02,251.0,246.0,239.0,239.0,-4.78 %,700.0,168200.0
SICL,2012-07-03,239.0,243.0,239.0,239.0,0.00 %,90.0,21560.0
SICL,2012-07-04,239.0,243.0,235.0,243.0,1.67 %,230.0,54170.0
SICL,2012-07-05,243.0,247.0,247.0,247.0,1.65 %,20.0,4940.0
SICL,2012-07-08,247.0,261.0,251.0,261.0,5.67 %,200.0,51700.0
SICL,2012-07-09,261.0,276.0,265.0,271.0,3.83 %,250.0,66850.0
SICL,2012-07-10,271.0,291.0,276.0,291.0,7.38 %,1090.0,301480.0
SICL,2012-07-11,291.0,289.0,289.0,289.0,-0.69 %,50.0,14450.0
SICL,2012-07-12,289.0,284.0,284.0,284.0,-1.73 %,500.0,142000.0
SICL,2012-07-17,284.0,285.0,284.0,285.0,0.35 %,110.0,31250.0
SICL,2012-07-19,285.0,280.0,280.0,280.0,-1.75 %,20.0,5600.0
SICL,2012-07-23,280.0,285.0,285.0,285.0,1.79 %,10.0,2850.0
SICL,2012-08-08,285.0,280.0,270.0,270.0,-5.26 %,2680.0,732100.0
SICL,2012-08-16,270.0,265.0,243.0,243.0,-10.00 %,1670.0,407050.0
SICL,2012-08-19,243.0,243.0,239.0,243.0,0.00 %,80.0,19240.0
SICL,2012-08-21,243.0,255.0,239.0,255.0,4.94 %,370.0,89350.0
SICL,2012-08-22,255.0,253.0,238.0,253.0,-0.78 %,520.0,126730.0
SICL,2012-08-26,253.0,278.0,248.0,278.0,9.88 %,3720.0,996580.0
SICL,2012-08-27,278.0,295.0,283.0,290.0,4.32 %,2370.0,676480.0
SICL,2012-08-28,290.0,297.0,286.0,292.0,0.69 %,1400.0,407510.0
SICL,2012-08-29,292.0,308.0,297.0,307.0,5.14 %,930.0,282370.0
SICL,2012-08-30,307.0,324.0,312.0,324.0,5.54 %,5460.0,1704960.0
SICL,2012-09-02,324.0,334.0,322.0,322.0,-0.62 %,240.0,77760.0
SICL,2012-09-03,322.0,325.0,316.0,322.0,0.00 %,620.0,198050.0
SICL,2012-09-04,322.0,328.0,322.0,328.0,1.86 %,220.0,70960.0
SICL,2012-09-05,328.0,322.0,322.0,322.0,-1.83 %,100.0,32200.0
SICL,2012-09-06,322.0,316.0,304.0,307.0,-4.66 %,940.0,290650.0
SICL,2012-09-09,307.0,314.0,308.0,314.0,2.28 %,1170.0,365840.0
SICL,2012-09-10,314.0,324.0,319.0,324.0,3.18 %,500.0,161120.0
SICL,2012-09-11,324.0,336.0,324.0,336.0,3.70 %,1100.0,368940.0
SICL,2012-09-12,336.0,364.0,341.0,356.0,5.95 %,1540.0,535700.0
SICL,2012-09-13,356.0,350.0,350.0,350.0,-1.69 %,1000.0,350000.0
SICL,2012-09-16,350.0,370.0,357.0,370.0,5.71 %,990.0,365570.0
SICL,2012-09-17,370.0,377.0,377.0,377.0,1.89 %,80.0,30160.0
SICL,2012-09-18,377.0,384.0,370.0,370.0,-1.86 %,230.0,85380.0
SICL,2012-09-20,370.0,363.0,349.0,349.0,-5.68 %,90.0,31830.0
SICL,2012-09-24,349.0,355.0,355.0,355.0,1.72 %,10.0,3550.0
SICL,2012-09-25,355.0,348.0,332.0,336.0,-5.35 %,1510.0,513740.0
SICL,2012-09-26,336.0,340.0,330.0,340.0,1.19 %,570.0,193220.0
SICL,2012-09-27,340.0,346.0,346.0,346.0,1.76 %,200.0,69200.0
SICL,2012-09-30,346.0,373.0,350.0,366.0,5.78 %,2490.0,878730.0
SICL,2012-10-02,366.0,372.0,365.0,365.0,-0.27 %,30.0,11090.0
SICL,2012-10-03,365.0,358.0,345.0,345.0,-5.48 %,110.0,38200.0
SICL,2012-10-04,345.0,357.0,350.0,357.0,3.48 %,100.0,35210.0
SICL,2012-10-07,357.0,375.0,364.0,375.0,5.04 %,740.0,276700.0
SICL,2012-10-08,375.0,375.0,368.0,368.0,-1.87 %,850.0,315740.0
SICL,2012-10-09,368.0,362.0,361.0,361.0,-1.90 %,1020.0,368240.0
SICL,2012-10-10,361.0,368.0,354.0,354.0,-1.94 %,70.0,24990.0
SICL,2012-10-11,354.0,361.0,350.0,354.0,0.00 %,2300.0,808290.0
SICL,2012-10-14,354.0,352.0,350.0,350.0,-1.13 %,350.0,123020.0
SICL,2012-10-15,350.0,350.0,348.0,348.0,-0.57 %,300.0,104940.0
SICL,2012-10-17,348.0,352.0,352.0,352.0,1.15 %,90.0,31680.0
SICL,2012-10-18,352.0,381.0,359.0,381.0,8.24 %,200.0,73440.0
SICL,2012-11-01,381.0,378.0,374.0,378.0,-0.79 %,860.0,323680.0
SICL,2012-11-04,378.0,381.0,377.0,381.0,0.79 %,2750.0,1045430.0
SICL,2012-11-05,381.0,374.0,368.0,368.0,-3.41 %,40.0,14840.0
