Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turn Over
SKBBL,2013-10-08,1250.0,605.0,550.0,605.0,-51.60 %,2783.0,1681457.0
SKBBL,2013-10-09,605.0,665.0,617.0,665.0,9.92 %,16506.0,10708790.0
SKBBL,2013-10-10,665.0,718.0,652.0,690.0,3.76 %,23565.0,16050701.0
SKBBL,2013-10-17,690.0,693.0,677.0,686.0,-0.58 %,2986.0,2032869.0
SKBBL,2013-10-20,686.0,695.0,652.0,660.0,-3.79 %,1943.0,1322219.0
SKBBL,2013-10-21,660.0,673.0,650.0,670.0,1.52 %,10997.0,7288319.0
SKBBL,2013-10-22,670.0,674.0,660.0,674.0,0.60 %,6847.0,4596247.0
SKBBL,2013-10-23,674.0,682.0,670.0,680.0,0.89 %,14041.0,9469981.0
SKBBL,2013-10-24,680.0,700.0,676.0,699.0,2.79 %,11302.0,7837303.0
SKBBL,2013-10-27,699.0,710.0,675.0,690.0,-1.29 %,12862.0,8775962.0
SKBBL,2013-10-28,690.0,695.0,668.0,691.0,0.14 %,4891.0,3373032.0
SKBBL,2013-10-29,691.0,695.0,675.0,688.0,-0.43 %,3268.0,2238755.0
SKBBL,2013-10-30,688.0,696.0,688.0,693.0,0.73 %,4868.0,3369810.0
SKBBL,2013-10-31,693.0,698.0,688.0,691.0,-0.29 %,11043.0,7643491.0
SKBBL,2013-11-06,691.0,683.0,665.0,680.0,-1.59 %,7253.0,4885069.0
SKBBL,2013-11-07,680.0,691.0,680.0,687.0,1.03 %,3669.0,2513160.0
SKBBL,2013-11-10,687.0,701.0,689.0,695.0,1.16 %,4399.0,3055023.0
SKBBL,2013-11-11,695.0,702.0,690.0,700.0,0.72 %,14879.0,10410446.0
SKBBL,2013-11-12,700.0,725.0,703.0,716.0,2.29 %,10501.0,7494181.0
SKBBL,2013-11-13,716.0,745.0,712.0,725.0,1.26 %,7925.0,5802001.0
SKBBL,2013-11-14,725.0,735.0,718.0,724.0,-0.14 %,7175.0,5203586.0
SKBBL,2013-11-21,724.0,738.0,738.0,738.0,1.93 %,16.0,11808.0
SKBBL,2013-11-24,738.0,800.0,737.0,737.0,-0.14 %,3633.0,2833616.0
SKBBL,2013-11-25,737.0,750.0,720.0,737.0,0.00 %,5297.0,3901979.0
SKBBL,2013-11-26,737.0,760.0,716.0,750.0,1.76 %,3137.0,2338590.0
SKBBL,2013-11-27,750.0,760.0,745.0,755.0,0.67 %,2179.0,1637669.0
SKBBL,2013-11-28,755.0,769.0,740.0,768.0,1.72 %,2292.0,1737603.0
SKBBL,2013-12-01,768.0,790.0,765.0,770.0,0.26 %,3395.0,2619815.0
SKBBL,2013-12-02,770.0,824.0,770.0,824.0,7.01 %,7326.0,5756874.0
SKBBL,2013-12-03,824.0,906.0,823.0,906.0,9.95 %,7229.0,6068700.0
SKBBL,2013-12-04,906.0,996.0,924.0,990.0,9.27 %,4329.0,4237633.0
SKBBL,2013-12-05,990.0,1038.0,970.0,989.0,-0.10 %,20168.0,20056433.0
