Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turn Over
SWBBL,2012-01-01,230.0,230.0,230.0,230.0,0.00 %,125.0,28750.0
SWBBL,2012-01-02,230.0,238.0,226.0,238.0,3.48 %,345.0,80080.0
SWBBL,2012-01-03,238.0,241.0,241.0,241.0,1.26 %,58.0,13978.0
SWBBL,2012-01-08,241.0,238.0,238.0,238.0,-1.24 %,302.0,71876.0
SWBBL,2012-01-09,238.0,248.0,240.0,248.0,4.20 %,206.0,49890.0
SWBBL,2012-01-10,248.0,248.0,240.0,240.0,-3.23 %,502.0,122016.0
SWBBL,2012-01-11,240.0,244.0,240.0,240.0,0.00 %,146.0,35168.0
SWBBL,2012-01-12,240.0,242.0,230.0,242.0,0.83 %,3956.0,936424.0
SWBBL,2012-01-16,242.0,243.0,239.0,243.0,0.41 %,1284.0,307036.0
SWBBL,2012-01-17,243.0,239.0,235.0,235.0,-3.29 %,4712.0,1125368.0
SWBBL,2012-01-18,235.0,231.0,231.0,231.0,-1.70 %,2000.0,462000.0
SWBBL,2012-01-22,231.0,227.0,222.0,222.0,-3.90 %,5837.0,1306389.0
SWBBL,2012-01-23,222.0,218.0,218.0,218.0,-1.80 %,3000.0,654000.0
SWBBL,2012-01-26,218.0,228.0,222.0,228.0,4.59 %,376.0,84448.0
SWBBL,2012-02-01,228.0,232.0,232.0,232.0,1.75 %,32.0,7424.0
SWBBL,2012-02-02,232.0,236.0,236.0,236.0,1.72 %,10.0,2360.0
SWBBL,2012-02-05,236.0,240.0,235.0,236.0,0.00 %,156.0,36974.0
SWBBL,2012-02-06,236.0,240.0,229.0,229.0,-2.97 %,2522.0,581988.0
SWBBL,2012-02-07,229.0,238.0,225.0,238.0,3.93 %,881.0,199866.0
SWBBL,2012-02-08,238.0,244.0,224.0,230.0,-3.36 %,3581.0,815656.0
SWBBL,2012-03-05,230.0,233.0,233.0,233.0,1.30 %,207.0,48231.0
SWBBL,2012-03-15,233.0,215.0,198.0,199.0,-14.59 %,220.0,44560.0
SWBBL,2012-03-18,199.0,196.0,194.0,194.0,-2.51 %,1449.0,283946.0
SWBBL,2012-03-19,194.0,191.0,190.0,190.0,-2.06 %,1332.0,254142.0
SWBBL,2012-03-20,190.0,192.0,192.0,192.0,1.05 %,66.0,12672.0
SWBBL,2012-03-21,192.0,195.0,193.0,195.0,1.56 %,119.0,23151.0
SWBBL,2012-03-26,195.0,198.0,195.0,198.0,1.54 %,126.0,24792.0
SWBBL,2012-03-28,198.0,201.0,201.0,201.0,1.52 %,100.0,20100.0
SWBBL,2012-03-29,201.0,197.0,194.0,194.0,-3.48 %,20.0,3910.0
SWBBL,2012-04-12,194.0,213.0,197.0,213.0,9.79 %,668.0,141844.0
SWBBL,2012-04-15,213.0,225.0,217.0,225.0,5.63 %,30.0,6630.0
SWBBL,2012-04-17,225.0,229.0,229.0,229.0,1.78 %,215.0,49235.0
SWBBL,2012-04-18,229.0,229.0,229.0,229.0,0.00 %,196.0,44884.0
SWBBL,2012-04-19,229.0,235.0,233.0,235.0,2.62 %,200.0,46800.0
SWBBL,2012-04-22,235.0,240.0,239.0,240.0,2.13 %,204.0,48946.0
SWBBL,2012-04-25,240.0,244.0,244.0,244.0,1.67 %,10.0,2440.0
SWBBL,2012-04-26,244.0,248.0,248.0,248.0,1.64 %,177.0,43896.0
SWBBL,2012-04-29,248.0,252.0,248.0,248.0,0.00 %,180.0,45080.0
SWBBL,2012-04-30,248.0,257.0,252.0,252.0,1.61 %,250.0,63050.0
SWBBL,2012-05-03,252.0,257.0,257.0,257.0,1.98 %,100.0,25700.0
SWBBL,2012-05-08,257.0,262.0,262.0,262.0,1.95 %,18.0,4716.0
SWBBL,2012-05-09,262.0,262.0,262.0,262.0,0.00 %,323.0,84626.0
SWBBL,2012-05-10,262.0,267.0,262.0,267.0,1.91 %,935.0,246860.0
SWBBL,2012-05-14,267.0,262.0,253.0,253.0,-5.24 %,180.0,46130.0
SWBBL,2012-05-15,253.0,263.0,258.0,263.0,3.95 %,482.0,125586.0
SWBBL,2012-05-17,263.0,273.0,268.0,273.0,3.80 %,60.0,16130.0
SWBBL,2012-05-21,273.0,269.0,269.0,269.0,-1.47 %,100.0,26900.0
SWBBL,2012-05-22,269.0,269.0,264.0,265.0,-1.49 %,500.0,132800.0
SWBBL,2012-05-24,265.0,261.0,261.0,261.0,-1.51 %,1020.0,266220.0
SWBBL,2012-05-27,261.0,271.0,261.0,271.0,3.83 %,1230.0,323080.0
SWBBL,2012-05-29,271.0,266.0,244.0,244.0,-9.96 %,597.0,149901.0
SWBBL,2012-05-30,244.0,240.0,232.0,232.0,-4.92 %,664.0,157224.0
SWBBL,2012-05-31,232.0,232.0,232.0,232.0,0.00 %,32.0,7424.0
SWBBL,2012-06-04,232.0,232.0,232.0,232.0,0.00 %,171.0,39672.0
SWBBL,2012-06-05,232.0,239.0,236.0,239.0,3.02 %,1192.0,281492.0
SWBBL,2012-06-06,239.0,243.0,243.0,243.0,1.67 %,200.0,48600.0
SWBBL,2012-06-07,243.0,243.0,243.0,243.0,0.00 %,461.0,112023.0
SWBBL,2012-06-10,243.0,240.0,240.0,240.0,-1.23 %,10.0,2400.0
SWBBL,2012-06-13,240.0,248.0,244.0,248.0,3.33 %,112.0,27616.0
SWBBL,2012-06-14,248.0,244.0,244.0,244.0,-1.61 %,10.0,2440.0
SWBBL,2012-06-17,244.0,248.0,240.0,248.0,1.64 %,68.0,16648.0
SWBBL,2012-06-19,248.0,248.0,240.0,248.0,0.00 %,4325.0,1044550.0
SWBBL,2012-06-21,248.0,244.0,244.0,244.0,-1.61 %,194.0,47336.0
SWBBL,2012-06-25,244.0,248.0,248.0,248.0,1.64 %,10.0,2480.0
SWBBL,2012-06-26,248.0,248.0,244.0,248.0,0.00 %,270.0,66020.0
SWBBL,2012-06-27,248.0,249.0,245.0,249.0,0.40 %,730.0,178970.0
SWBBL,2012-06-28,249.0,253.0,245.0,253.0,1.61 %,69.0,17065.0
SWBBL,2012-07-01,253.0,252.0,248.0,252.0,-0.40 %,30.0,7480.0
SWBBL,2012-07-02,252.0,257.0,250.0,257.0,1.98 %,360.0,90766.0
SWBBL,2012-07-03,257.0,246.0,241.0,241.0,-6.23 %,7320.0,1787500.0
SWBBL,2012-07-04,241.0,241.0,241.0,241.0,0.00 %,600.0,144600.0
SWBBL,2012-07-05,241.0,245.0,241.0,241.0,0.00 %,920.0,222640.0
SWBBL,2012-07-08,241.0,240.0,232.0,232.0,-3.73 %,970.0,227290.0
SWBBL,2012-07-09,232.0,237.0,228.0,235.0,1.29 %,1049.0,243587.0
SWBBL,2012-07-11,235.0,239.0,239.0,239.0,1.70 %,14.0,3346.0
SWBBL,2012-07-17,239.0,235.0,235.0,235.0,-1.67 %,596.0,140060.0
SWBBL,2012-07-18,235.0,235.0,235.0,235.0,0.00 %,64.0,15040.0
SWBBL,2012-07-25,235.0,239.0,239.0,239.0,1.70 %,55.0,13145.0
SWBBL,2012-08-08,239.0,238.0,238.0,238.0,-0.42 %,137.0,32606.0
SWBBL,2012-08-16,238.0,234.0,230.0,230.0,-3.36 %,498.0,116132.0
SWBBL,2012-08-21,230.0,234.0,233.0,233.0,1.30 %,250.0,58350.0
SWBBL,2012-08-22,233.0,236.0,232.0,236.0,1.29 %,300.0,70300.0
SWBBL,2012-09-03,236.0,232.0,228.0,228.0,-3.39 %,150.0,34400.0
SWBBL,2012-09-04,228.0,226.0,222.0,222.0,-2.63 %,424.0,95124.0
SWBBL,2012-09-05,222.0,226.0,223.0,223.0,0.45 %,1509.0,336603.0
SWBBL,2012-09-10,223.0,219.0,219.0,219.0,-1.79 %,60.0,13140.0
SWBBL,2012-09-12,219.0,219.0,215.0,219.0,0.00 %,537.0,116789.0
SWBBL,2012-09-13,219.0,235.0,223.0,235.0,7.31 %,459.0,105081.0
SWBBL,2012-09-17,235.0,252.0,231.0,250.0,6.38 %,2220.0,530676.0
SWBBL,2012-09-18,250.0,260.0,250.0,260.0,4.00 %,714.0,184076.0
SWBBL,2012-09-19,260.0,265.0,255.0,255.0,-1.92 %,1158.0,298880.0
SWBBL,2012-09-20,255.0,255.0,255.0,255.0,0.00 %,142.0,36210.0
SWBBL,2012-09-24,255.0,270.0,260.0,270.0,5.88 %,30.0,7950.0
SWBBL,2012-09-25,270.0,265.0,260.0,260.0,-3.70 %,217.0,56700.0
SWBBL,2012-09-26,260.0,260.0,255.0,260.0,0.00 %,20.0,5150.0
SWBBL,2012-10-02,260.0,255.0,255.0,255.0,-1.92 %,180.0,45900.0
SWBBL,2012-10-03,255.0,252.0,239.0,239.0,-6.27 %,1292.0,315524.0
SWBBL,2012-10-07,239.0,239.0,235.0,239.0,0.00 %,4107.0,965493.0
SWBBL,2012-10-08,239.0,256.0,240.0,256.0,7.11 %,853.0,211691.0
SWBBL,2012-10-09,256.0,256.0,251.0,256.0,0.00 %,262.0,66572.0
SWBBL,2012-10-10,256.0,259.0,252.0,255.0,-0.39 %,950.0,242160.0
SWBBL,2012-10-11,255.0,250.0,245.0,245.0,-3.92 %,500.0,122850.0
SWBBL,2012-10-14,245.0,241.0,241.0,241.0,-1.63 %,500.0,120500.0
SWBBL,2012-10-17,241.0,244.0,240.0,244.0,1.24 %,210.0,50800.0
SWBBL,2012-10-18,244.0,252.0,248.0,252.0,3.28 %,200.0,50000.0
SWBBL,2012-10-30,252.0,249.0,249.0,249.0,-1.19 %,10.0,2490.0
SWBBL,2012-10-31,249.0,260.0,253.0,260.0,4.42 %,502.0,130250.0
SWBBL,2012-11-01,260.0,258.0,258.0,258.0,-0.77 %,629.0,162282.0
SWBBL,2012-11-04,258.0,263.0,261.0,261.0,1.16 %,587.0,153807.0
SWBBL,2012-11-05,261.0,263.0,261.0,263.0,0.77 %,600.0,157500.0
SWBBL,2012-11-07,263.0,273.0,268.0,273.0,3.80 %,140.0,38100.0
SWBBL,2012-11-08,273.0,274.0,270.0,270.0,-1.10 %,300.0,81400.0
SWBBL,2012-11-18,270.0,275.0,275.0,275.0,1.85 %,100.0,27500.0
SWBBL,2012-11-21,275.0,279.0,279.0,279.0,1.45 %,15.0,4185.0
SWBBL,2012-11-25,279.0,285.0,279.0,280.0,0.36 %,1301.0,364737.0
SWBBL,2012-11-26,280.0,285.0,276.0,280.0,0.00 %,24057.0,6700815.0
SWBBL,2012-11-27,280.0,308.0,284.0,308.0,10.00 %,995.0,298012.0
SWBBL,2012-11-28,308.0,332.0,314.0,326.0,5.84 %,1628.0,534271.0
SWBBL,2012-11-29,326.0,326.0,320.0,325.0,-0.31 %,726.0,234650.0
SWBBL,2012-12-02,325.0,319.0,313.0,313.0,-3.69 %,849.0,266420.0
SWBBL,2012-12-03,313.0,311.0,310.0,310.0,-0.96 %,1118.0,346880.0
SWBBL,2012-12-04,310.0,310.0,304.0,310.0,0.00 %,1049.0,322075.0
SWBBL,2012-12-05,310.0,322.0,316.0,322.0,3.87 %,405.0,129458.0
SWBBL,2012-12-06,322.0,316.0,310.0,310.0,-3.73 %,756.0,236340.0
SWBBL,2012-12-09,310.0,310.0,309.0,309.0,-0.32 %,690.0,213872.0
SWBBL,2012-12-10,309.0,311.0,305.0,308.0,-0.32 %,390.0,119868.0
SWBBL,2012-12-11,308.0,308.0,300.0,306.0,-0.65 %,3050.0,932050.0
SWBBL,2012-12-13,306.0,320.0,308.0,308.0,0.65 %,240.0,74220.0
SWBBL,2012-12-17,308.0,314.0,314.0,314.0,1.95 %,40.0,12560.0
SWBBL,2012-12-18,314.0,310.0,308.0,310.0,-1.27 %,645.0,198908.0
SWBBL,2012-12-19,310.0,311.0,310.0,311.0,0.32 %,413.0,128198.0
SWBBL,2012-12-20,311.0,316.0,309.0,316.0,1.61 %,690.0,214985.0
SWBBL,2012-12-23,316.0,334.0,322.0,334.0,5.70 %,413.0,136618.0
SWBBL,2012-12-24,334.0,350.0,332.0,350.0,4.79 %,8059.0,2701207.0
SWBBL,2012-12-26,350.0,357.0,350.0,350.0,0.00 %,450.0,158350.0
SWBBL,2013-01-02,350.0,345.0,345.0,345.0,-1.43 %,220.0,75900.0
SWBBL,2013-01-03,345.0,343.0,335.0,335.0,-2.90 %,436.0,147132.0
SWBBL,2013-01-13,335.0,341.0,331.0,340.0,1.49 %,2789.0,935727.0
SWBBL,2013-01-16,340.0,334.0,327.0,327.0,-3.82 %,197.0,64769.0
SWBBL,2013-01-17,327.0,333.0,332.0,332.0,1.53 %,113.0,37536.0
SWBBL,2013-01-20,332.0,328.0,311.0,311.0,-6.33 %,698.0,222317.0
SWBBL,2013-01-21,311.0,317.0,311.0,315.0,1.29 %,173.0,54108.0
SWBBL,2013-01-24,315.0,321.0,321.0,321.0,1.90 %,1284.0,412164.0
SWBBL,2013-01-27,321.0,338.0,327.0,335.0,4.36 %,1615.0,534349.0
SWBBL,2013-01-28,335.0,341.0,332.0,332.0,-0.90 %,1970.0,658026.0
SWBBL,2013-01-31,332.0,330.0,327.0,327.0,-1.51 %,407.0,133440.0
SWBBL,2013-02-04,327.0,333.0,332.0,333.0,1.83 %,146.0,48599.0
SWBBL,2013-02-05,333.0,341.0,339.0,341.0,2.40 %,335.0,114181.0
SWBBL,2013-02-06,341.0,341.0,341.0,341.0,0.00 %,100.0,34100.0
SWBBL,2013-02-07,341.0,335.0,335.0,335.0,-1.76 %,2329.0,780215.0
SWBBL,2013-02-12,335.0,341.0,331.0,341.0,1.79 %,493.0,166959.0
SWBBL,2013-02-17,341.0,347.0,347.0,347.0,1.76 %,103.0,35741.0
SWBBL,2013-02-21,347.0,345.0,345.0,345.0,-0.58 %,229.0,79005.0
SWBBL,2013-02-25,345.0,352.0,350.0,352.0,2.03 %,79.0,27690.0
SWBBL,2013-02-26,352.0,349.0,339.0,346.0,-1.70 %,234.0,80820.0
SWBBL,2013-02-27,346.0,340.0,340.0,340.0,-1.73 %,70.0,23800.0
SWBBL,2013-02-28,340.0,334.0,334.0,334.0,-1.76 %,100.0,33400.0
SWBBL,2013-03-05,334.0,340.0,324.0,324.0,-2.99 %,5617.0,1854392.0
SWBBL,2013-03-06,324.0,330.0,330.0,330.0,1.85 %,63.0,20790.0
SWBBL,2013-03-07,330.0,342.0,336.0,336.0,1.82 %,200.0,67550.0
SWBBL,2013-03-11,336.0,342.0,342.0,342.0,1.79 %,30.0,10260.0
SWBBL,2013-03-13,342.0,348.0,348.0,348.0,1.75 %,200.0,69600.0
SWBBL,2013-03-14,348.0,347.0,342.0,342.0,-1.72 %,537.0,185739.0
SWBBL,2013-03-17,342.0,347.0,346.0,347.0,1.46 %,294.0,102008.0
SWBBL,2013-03-21,347.0,335.0,325.0,335.0,-3.46 %,5379.0,1749739.0
SWBBL,2013-04-04,335.0,329.0,313.0,319.0,-4.78 %,3241.0,1016837.0
SWBBL,2013-04-08,319.0,325.0,325.0,325.0,1.88 %,40.0,13000.0
SWBBL,2013-04-09,325.0,330.0,324.0,330.0,1.54 %,121.0,39642.0
SWBBL,2013-04-15,330.0,324.0,312.0,312.0,-5.45 %,100.0,31650.0
SWBBL,2013-04-17,312.0,315.0,305.0,315.0,0.96 %,2361.0,733490.0
SWBBL,2013-04-18,315.0,309.0,303.0,303.0,-3.81 %,661.0,201249.0
SWBBL,2013-04-21,303.0,298.0,298.0,298.0,-1.65 %,68.0,20264.0
SWBBL,2013-04-22,298.0,298.0,293.0,298.0,0.00 %,329.0,96897.0
SWBBL,2013-04-23,298.0,294.0,293.0,293.0,-1.68 %,450.0,132100.0
SWBBL,2013-04-29,293.0,298.0,295.0,295.0,0.68 %,276.0,81798.0
SWBBL,2013-04-30,295.0,300.0,300.0,300.0,1.69 %,59.0,17700.0
SWBBL,2013-05-02,300.0,294.0,294.0,294.0,-2.00 %,190.0,55860.0
SWBBL,2013-05-06,294.0,289.0,289.0,289.0,-1.70 %,140.0,40460.0
SWBBL,2013-05-08,289.0,294.0,289.0,289.0,0.00 %,155.0,45210.0
SWBBL,2013-05-12,289.0,290.0,289.0,290.0,0.35 %,208.0,60287.0
SWBBL,2013-05-13,290.0,285.0,285.0,285.0,-1.72 %,47.0,13395.0
SWBBL,2013-05-14,285.0,295.0,290.0,295.0,3.51 %,70.0,20400.0
SWBBL,2013-05-15,295.0,311.0,300.0,311.0,5.42 %,90.0,27650.0
SWBBL,2013-05-19,311.0,329.0,311.0,329.0,5.79 %,387.0,123607.0
SWBBL,2013-05-20,329.0,341.0,333.0,341.0,3.65 %,523.0,174983.0
SWBBL,2013-05-22,341.0,335.0,330.0,330.0,-3.23 %,4000.0,1320100.0
SWBBL,2013-05-23,330.0,324.0,324.0,324.0,-1.82 %,113.0,36612.0
SWBBL,2013-05-28,324.0,318.0,312.0,315.0,-2.78 %,620.0,195037.0
SWBBL,2013-05-30,315.0,319.0,310.0,319.0,1.27 %,1955.0,608445.0
SWBBL,2013-06-02,319.0,324.0,313.0,324.0,1.57 %,210.0,66445.0
SWBBL,2013-06-03,324.0,324.0,312.0,312.0,-3.70 %,1013.0,318462.0
SWBBL,2013-06-04,312.0,323.0,310.0,323.0,3.53 %,717.0,223814.0
SWBBL,2013-06-10,323.0,329.0,317.0,329.0,1.86 %,73.0,23321.0
SWBBL,2013-06-17,329.0,323.0,323.0,323.0,-1.82 %,10.0,3230.0
SWBBL,2013-06-18,323.0,317.0,309.0,309.0,-4.33 %,3369.0,1061263.0
SWBBL,2013-06-20,309.0,303.0,297.0,297.0,-3.88 %,300.0,89700.0
SWBBL,2013-06-25,297.0,300.0,300.0,300.0,1.01 %,858.0,257400.0
SWBBL,2013-06-26,300.0,302.0,302.0,302.0,0.67 %,60.0,18120.0
SWBBL,2013-06-30,302.0,300.0,300.0,300.0,-0.66 %,162.0,48600.0
SWBBL,2013-07-02,300.0,294.0,294.0,294.0,-2.00 %,68.0,19992.0
SWBBL,2013-07-04,294.0,295.0,294.0,294.0,0.00 %,238.0,70077.0
SWBBL,2013-07-08,294.0,299.0,299.0,299.0,1.70 %,14.0,4186.0
SWBBL,2013-07-09,299.0,304.0,304.0,304.0,1.67 %,179.0,54416.0
SWBBL,2013-07-10,304.0,310.0,310.0,310.0,1.97 %,123.0,38130.0
SWBBL,2013-07-14,310.0,322.0,316.0,322.0,3.87 %,263.0,84266.0
SWBBL,2013-07-15,322.0,328.0,316.0,328.0,1.86 %,262.0,83524.0
SWBBL,2013-07-22,328.0,325.0,325.0,325.0,-0.91 %,100.0,32500.0
SWBBL,2013-07-23,325.0,319.0,319.0,319.0,-1.85 %,357.0,113883.0
SWBBL,2013-07-25,319.0,325.0,320.0,320.0,0.31 %,440.0,141428.0
